  QueueTimes | ServiceTimes | SojournTimes

       0.104 |        0.570 |        0.674
       0.493 |        0.499 |        0.992
       0.125 |        0.508 |        0.633
       0.122 |        0.511 |        0.632
       0.125 |        0.529 |        0.653
       0.128 |        0.524 |        0.652
       0.123 |        0.514 |        0.637
       0.621 |        0.498 |        1.119
       0.126 |        0.512 |        0.639
       0.152 |        0.518 |        0.670
       0.128 |        0.532 |        0.660
       0.123 |        0.519 |        0.642
       0.123 |        0.515 |        0.638
       0.122 |        0.510 |        0.632
       0.147 |        0.507 |        0.654
       0.148 |        0.511 |        0.658
       0.145 |        0.508 |        0.653
       0.122 |        0.514 |        0.636
       0.147 |        0.512 |        0.660
       0.682 |        0.496 |        1.178
       0.125 |        0.514 |        0.639
       0.358 |        0.501 |        0.858
       0.272 |        0.503 |        0.775
       0.124 |        0.507 |        0.631
       0.063 |        0.494 |        0.557
       0.149 |        0.512 |        0.661
       0.147 |        0.530 |        0.676
       0.746 |        0.497 |        1.243
       0.852 |        0.501 |        1.354
       0.150 |        0.528 |        0.677
       0.123 |        0.517 |        0.640
       0.148 |        0.507 |        0.655
       0.148 |        0.511 |        0.659
       0.726 |        0.498 |        1.223
       0.148 |        0.507 |        0.656
       0.390 |        0.498 |        0.887
       0.602 |        0.497 |        1.099
       0.124 |        0.506 |        0.630
       0.149 |        0.514 |        0.663
       0.124 |        0.530 |        0.654
       0.126 |        0.520 |        0.646
       0.123 |        0.510 |        0.633
       0.147 |        0.507 |        0.654
       0.145 |        0.513 |        0.658
       0.144 |        0.509 |        0.654
       0.149 |        0.513 |        0.662
       0.145 |        0.512 |        0.657
       0.147 |        0.517 |        0.663
       0.149 |        0.519 |        0.668
       0.146 |        0.512 |        0.658
       0.151 |        0.510 |        0.661
       0.124 |        0.512 |        0.636
       0.159 |        0.524 |        0.683
       0.128 |        0.516 |        0.644
       0.125 |        0.511 |        0.636
       0.123 |        0.519 |        0.643
       0.126 |        0.522 |        0.647
       0.149 |        0.516 |        0.666
       0.024 |        0.503 |        0.527
       0.148 |        0.520 |        0.668
       0.148 |        0.523 |        0.671
       0.145 |        0.513 |        0.658
       0.147 |        0.508 |        0.654
       0.124 |        0.507 |        0.631
       0.160 |        0.520 |        0.680
       0.417 |        0.502 |        0.919
       0.124 |        0.508 |        0.632
       0.122 |        0.527 |        0.649
       0.121 |        0.511 |        0.632
       0.123 |        0.510 |        0.633
       0.097 |        0.501 |        0.598
       0.123 |        0.514 |        0.637
       0.126 |        0.508 |        0.634
       0.127 |        0.511 |        0.638
       0.090 |        0.510 |        0.600
       0.139 |        0.576 |        0.715
       0.127 |        0.527 |        0.654
       0.124 |        0.525 |        0.649
       0.104 |        0.582 |        0.686
       0.407 |        0.519 |        0.926
       0.842 |        0.514 |        1.356
       0.138 |        0.573 |        0.711
       0.127 |        0.521 |        0.648
       0.005 |        0.508 |        0.513
       0.582 |        0.505 |        1.087
       0.978 |        0.510 |        1.488
       0.129 |        0.530 |        0.659
       0.136 |        0.559 |        0.695
       0.122 |        0.508 |        0.630
       0.130 |        0.550 |        0.681
       0.122 |        0.519 |        0.641
       0.120 |        0.511 |        0.631
       0.128 |        0.538 |        0.666
       0.121 |        0.506 |        0.627
       0.124 |        0.523 |        0.647
       0.557 |        0.499 |        1.056
       0.912 |        0.496 |        1.408
       0.128 |        0.512 |        0.641
       0.126 |        0.532 |        0.659
       0.638 |        0.514 |        1.152
       0.134 |        0.510 |        0.643
       0.120 |        0.504 |        0.624
       0.120 |        0.505 |        0.625
       0.119 |        0.507 |        0.627
       0.123 |        0.507 |        0.630
       0.120 |        0.509 |        0.629
       0.120 |        0.510 |        0.630
       0.120 |        0.511 |        0.630
       0.205 |        0.500 |        0.705
       0.120 |        0.509 |        0.628
       0.120 |        0.510 |        0.630
       0.135 |        0.581 |        0.715
       0.714 |        0.503 |        1.217
       0.124 |        0.514 |        0.637
       0.121 |        0.509 |        0.630
       0.125 |        0.530 |        0.655
       0.164 |        0.523 |        0.687
       0.138 |        0.521 |        0.659
       0.123 |        0.523 |        0.647
       0.132 |        0.578 |        0.710
       0.247 |        0.527 |        0.774
       0.133 |        0.591 |        0.724
