  QueueTimes | ServiceTimes | SojournTimes

       0.658 |        0.243 |        0.901
       0.905 |        0.252 |        1.157
       1.193 |        0.251 |        1.444
       0.097 |        0.252 |        0.348
       0.096 |        0.257 |        0.353
       0.101 |        0.254 |        0.355
       0.094 |        0.248 |        0.342
       0.107 |        0.259 |        0.366
       0.501 |        0.255 |        0.757
       0.894 |        0.261 |        1.155
       1.048 |        0.246 |        1.294
       1.143 |        0.249 |        1.392
       0.073 |        0.252 |        0.325
       0.051 |        0.253 |        0.303
       0.073 |        0.248 |        0.321
       0.093 |        0.264 |        0.357
       0.328 |        0.248 |        0.576
       0.094 |        0.254 |        0.348
       0.049 |        0.248 |        0.297
       0.094 |        0.258 |        0.351
       0.430 |        0.255 |        0.685
       0.257 |        0.251 |        0.508
       0.096 |        0.256 |        0.352
       0.389 |        0.254 |        0.643
       0.056 |        0.249 |        0.305
       0.184 |        0.259 |        0.442
       0.072 |        0.245 |        0.317
       0.266 |        0.252 |        0.518
       0.097 |        0.258 |        0.356
       0.097 |        0.269 |        0.366
       0.071 |        0.259 |        0.330
       0.158 |        0.252 |        0.410
       0.246 |        0.244 |        0.490
       0.096 |        0.257 |        0.353
       0.107 |        0.246 |        0.353
       0.073 |        0.262 |        0.335
       0.378 |        0.252 |        0.631
       0.072 |        0.253 |        0.325
       0.339 |        0.244 |        0.583
       0.330 |        0.253 |        0.583
       0.072 |        0.248 |        0.320
       0.077 |        0.269 |        0.346
       0.429 |        0.244 |        0.673
       0.436 |        0.262 |        0.697
       0.374 |        0.240 |        0.614
       0.097 |        0.253 |        0.349
       0.326 |        0.253 |        0.579
       0.258 |        0.248 |        0.505
       0.183 |        0.243 |        0.425
       0.096 |        0.251 |        0.347
       0.098 |        0.250 |        0.348
       0.074 |        0.263 |        0.337
       0.090 |        0.244 |        0.335
       0.141 |        0.252 |        0.393
       0.503 |        0.242 |        0.745
       0.096 |        0.249 |        0.345
       0.301 |        0.244 |        0.545
       0.440 |        0.260 |        0.700
       0.168 |        0.257 |        0.424
       0.019 |        0.247 |        0.266
       0.041 |        0.242 |        0.283
       0.098 |        0.253 |        0.351
       0.094 |        0.262 |        0.356
       0.248 |        0.281 |        0.529
       0.428 |        0.241 |        0.668
       0.218 |        0.252 |        0.470
       0.542 |        0.242 |        0.784
       0.099 |        0.261 |        0.359
       0.071 |        0.242 |        0.313
       0.090 |        0.248 |        0.338
       0.348 |        0.241 |        0.589
       0.707 |        0.252 |        0.959
       0.097 |        0.239 |        0.336
       0.025 |        0.257 |        0.282
       0.095 |        0.242 |        0.337
       0.153 |        0.264 |        0.417
       0.093 |        0.243 |        0.336
       0.449 |        0.247 |        0.696
       0.084 |        0.265 |        0.349
       0.126 |        0.251 |        0.377
       0.051 |        0.252 |        0.303
       0.097 |        0.251 |        0.349
       0.094 |        0.250 |        0.344
       0.330 |        0.269 |        0.599
       0.069 |        0.249 |        0.318
       0.076 |        0.253 |        0.329
       0.304 |        0.248 |        0.552
       0.651 |        0.253 |        0.904
       0.084 |        0.314 |        0.397
       0.082 |        0.322 |        0.404
       0.073 |        0.270 |        0.343
       0.097 |        0.313 |        0.410
       0.453 |        0.256 |        0.709
       0.392 |        0.258 |        0.650
       0.713 |        0.260 |        0.973
       0.728 |        0.258 |        0.986
       0.302 |        0.248 |        0.550
       0.073 |        0.259 |        0.332
       0.073 |        0.251 |        0.324
       0.249 |        0.264 |        0.513
       0.089 |        0.249 |        0.338
       0.070 |        0.256 |        0.326
       0.075 |        0.247 |        0.322
       0.093 |        0.268 |        0.361
       0.081 |        0.308 |        0.389
       0.078 |        0.271 |        0.349
       0.376 |        0.249 |        0.625
       0.073 |        0.256 |        0.330
       0.306 |        0.245 |        0.551
       0.125 |        0.252 |        0.377
       0.078 |        0.260 |        0.338
       0.082 |        0.261 |        0.342
       0.077 |        0.254 |        0.331
       0.257 |        0.254 |        0.511
       0.234 |        0.244 |        0.478
       0.606 |        0.264 |        0.870
       0.960 |        0.244 |        1.204
       0.701 |        0.253 |        0.954
       0.957 |        0.240 |        1.196
       0.083 |        0.314 |        0.397
       0.074 |        0.274 |        0.348
       0.071 |        0.265 |        0.336
       0.464 |        0.257 |        0.722
       0.095 |        0.263 |        0.358
       0.095 |        0.253 |        0.348
       0.070 |        0.269 |        0.339
       0.074 |        0.254 |        0.328
       0.083 |        0.261 |        0.345
       0.389 |        0.266 |        0.654
       0.027 |        0.253 |        0.280
       0.097 |        0.257 |        0.354
       0.097 |        0.269 |        0.366
       0.329 |        0.255 |        0.584
       0.096 |        0.261 |        0.358
       0.097 |        0.249 |        0.346
       0.076 |        0.260 |        0.336
       0.434 |        0.261 |        0.695
       0.681 |        0.256 |        0.937
       0.095 |        0.253 |        0.348
       0.098 |        0.259 |        0.358
       0.244 |        0.250 |        0.494
       0.103 |        0.271 |        0.374
       0.163 |        0.248 |        0.410
       0.150 |        0.261 |        0.411
       0.073 |        0.253 |        0.326
       0.314 |        0.257 |        0.571
       0.155 |        0.250 |        0.405
       0.076 |        0.271 |        0.347
       0.166 |        0.252 |        0.418
       0.127 |        0.255 |        0.382
       0.099 |        0.294 |        0.393
       0.074 |        0.266 |        0.340
       0.119 |        0.261 |        0.380
       0.074 |        0.254 |        0.328
       0.075 |        0.246 |        0.320
       0.097 |        0.250 |        0.346
       0.117 |        0.241 |        0.358
       0.427 |        0.262 |        0.689
       0.598 |        0.241 |        0.839
       0.336 |        0.246 |        0.582
       0.469 |        0.238 |        0.707
       0.277 |        0.246 |        0.523
       0.619 |        0.252 |        0.871
       0.700 |        0.247 |        0.947
       0.543 |        0.238 |        0.780
       0.073 |        0.249 |        0.322
       0.276 |        0.239 |        0.515
       0.202 |        0.245 |        0.446
       0.508 |        0.251 |        0.759
       0.097 |        0.248 |        0.345
       0.096 |        0.247 |        0.343
       0.101 |        0.252 |        0.353
       0.095 |        0.250 |        0.345
       0.102 |        0.257 |        0.359
       0.097 |        0.242 |        0.339
       0.095 |        0.255 |        0.350
       0.096 |        0.245 |        0.341
       0.168 |        0.249 |        0.416
       0.098 |        0.250 |        0.348
       0.097 |        0.253 |        0.350
       0.096 |        0.242 |        0.338
       0.147 |        0.249 |        0.396
       0.072 |        0.255 |        0.326
       0.145 |        0.250 |        0.395
       0.233 |        0.256 |        0.489
       0.204 |        0.248 |        0.452
       0.505 |        0.241 |        0.746
       0.085 |        0.316 |        0.402
       0.134 |        0.267 |        0.402
       0.076 |        0.283 |        0.359
       0.059 |        0.267 |        0.326
       0.075 |        0.271 |        0.346
       0.307 |        0.255 |        0.562
       0.228 |        0.265 |        0.492
       0.194 |        0.272 |        0.467
       0.594 |        0.262 |        0.856
