  QueueTimes | ServiceTimes | SojournTimes

       0.075 |        0.124 |        0.199
       0.192 |        0.099 |        0.292
       0.322 |        0.111 |        0.433
       0.336 |        0.083 |        0.420
       0.224 |        0.111 |        0.335
       0.199 |        0.079 |        0.279
       0.567 |        0.071 |        0.638
       0.263 |        0.070 |        0.333
       0.180 |        0.080 |        0.260
       0.161 |        0.104 |        0.265
       0.208 |        0.112 |        0.320
       0.084 |        0.082 |        0.165
       0.751 |        0.112 |        0.863
       0.277 |        0.114 |        0.391
       0.073 |        0.095 |        0.167
       0.083 |        0.121 |        0.204
       0.125 |        0.120 |        0.245
       0.201 |        0.126 |        0.327
       0.206 |        0.157 |        0.363
       0.118 |        0.082 |        0.201
       0.104 |        0.101 |        0.205
       0.070 |        0.081 |        0.150
       0.071 |        0.112 |        0.183
       0.074 |        0.116 |        0.190
       0.073 |        0.085 |        0.158
       0.071 |        0.083 |        0.155
       0.070 |        0.089 |        0.159
       0.071 |        0.109 |        0.180
       0.067 |        0.093 |        0.160
       0.085 |        0.114 |        0.199
       0.072 |        0.111 |        0.183
       0.070 |        0.095 |        0.165
       0.080 |        0.557 |        0.637
       0.070 |        0.082 |        0.152
       0.138 |        0.094 |        0.232
       0.069 |        0.079 |        0.148
       0.073 |        0.079 |        0.152
       0.070 |        0.085 |        0.156
       0.072 |        0.117 |        0.189
       0.070 |        0.081 |        0.151
       0.072 |        0.109 |        0.181
       0.152 |        0.074 |        0.226
       0.073 |        0.098 |        0.171
       0.069 |        0.083 |        0.153
       0.074 |        0.082 |        0.156
       0.070 |        0.075 |        0.145
       0.072 |        0.082 |        0.153
       0.070 |        0.117 |        0.187
       0.078 |        0.124 |        0.203
       0.073 |        0.090 |        0.163
       0.036 |        0.111 |        0.147
       0.093 |        0.085 |        0.179
       0.246 |        0.128 |        0.375
       0.317 |        0.167 |        0.484
       0.104 |        0.112 |        0.216
       0.099 |        0.132 |        0.231
       0.095 |        0.158 |        0.253
       0.287 |        0.114 |        0.400
       0.069 |        0.081 |        0.150
       0.069 |        0.115 |        0.185
       0.074 |        0.116 |        0.191
       0.220 |        0.081 |        0.301
       0.071 |        0.081 |        0.151
       0.107 |        0.075 |        0.182
       0.209 |        0.086 |        0.296
       0.082 |        0.131 |        0.213
       0.081 |        0.107 |        0.188
       0.071 |        0.118 |        0.189
       0.070 |        0.142 |        0.212
       0.159 |        0.103 |        0.262
       0.070 |        0.087 |        0.157
       0.221 |        0.139 |        0.360
       0.175 |        0.085 |        0.260
       0.253 |        0.134 |        0.388
       0.070 |        0.089 |        0.158
       0.047 |        0.117 |        0.164
       0.069 |        0.114 |        0.183
       0.070 |        0.085 |        0.155
       0.072 |        0.088 |        0.160
       0.071 |        0.573 |        0.644
       0.108 |        0.101 |        0.209
       0.217 |        0.073 |        0.290
       0.023 |        0.132 |        0.155
       0.348 |        0.083 |        0.431
       0.213 |        0.127 |        0.340
       0.068 |        0.123 |        0.191
       0.082 |        0.125 |        0.207
       0.074 |        0.078 |        0.152
       0.070 |        0.077 |        0.148
       0.121 |        0.628 |        0.749
       0.073 |        0.109 |        0.182
       0.074 |        0.113 |        0.187
       0.128 |        0.093 |        0.221
       0.090 |        0.134 |        0.224
       0.069 |        0.102 |        0.171
       0.071 |        0.091 |        0.162
       0.110 |        0.083 |        0.193
       0.122 |        0.110 |        0.232
       0.074 |        0.508 |        0.582
       0.107 |        0.141 |        0.247
       0.071 |        0.088 |        0.160
       0.070 |        0.088 |        0.159
       0.072 |        0.082 |        0.154
       0.070 |        0.084 |        0.154
       0.073 |        0.077 |        0.150
       0.138 |        0.121 |        0.259
       0.074 |        0.076 |        0.150
       0.070 |        0.095 |        0.164
       0.069 |        0.088 |        0.157
       0.071 |        0.119 |        0.190
       0.072 |        0.090 |        0.162
       0.073 |        0.088 |        0.161
       0.070 |        0.080 |        0.150
       0.073 |        0.084 |        0.157
       0.072 |        0.085 |        0.157
       0.071 |        0.088 |        0.160
       0.078 |        0.104 |        0.182
       0.071 |        0.121 |        0.192
       0.073 |        0.081 |        0.155
       0.096 |        0.111 |        0.207
       0.069 |        0.105 |        0.174
       0.072 |        0.088 |        0.161
       0.133 |        0.078 |        0.211
       0.073 |        0.082 |        0.155
       0.070 |        0.094 |        0.164
       0.072 |        0.072 |        0.143
       0.124 |        0.084 |        0.208
       0.092 |        0.098 |        0.190
       0.044 |        0.088 |        0.132
       0.225 |        0.169 |        0.393
       0.450 |        0.116 |        0.566
       0.226 |        0.070 |        0.296
       0.184 |        0.082 |        0.267
       0.180 |        0.129 |        0.309
       0.613 |        0.099 |        0.712
       0.058 |        0.562 |        0.620
       0.069 |        0.087 |        0.156
       0.072 |        0.086 |        0.158
       0.100 |        0.118 |        0.218
       0.073 |        0.119 |        0.192
       0.089 |        0.077 |        0.167
       0.121 |        0.086 |        0.207
       0.075 |        0.077 |        0.152
       0.079 |        0.127 |        0.206
       0.228 |        0.084 |        0.312
       0.070 |        0.124 |        0.193
       0.045 |        0.136 |        0.181
       0.168 |        0.156 |        0.324
       0.071 |        0.137 |        0.208
       0.076 |        0.123 |        0.199
       0.076 |        0.100 |        0.176
       0.212 |        0.110 |        0.322
       0.070 |        0.153 |        0.223
       0.071 |        0.095 |        0.167
       0.072 |        0.097 |        0.168
       0.120 |        0.121 |        0.241
       0.164 |        0.108 |        0.272
       0.070 |        0.078 |        0.148
       0.113 |        0.095 |        0.208
       0.075 |        0.081 |        0.156
       0.077 |        0.119 |        0.196
       0.145 |        0.132 |        0.277
       0.069 |        0.084 |        0.154
       0.076 |        0.129 |        0.204
       0.137 |        0.122 |        0.259
       0.069 |        0.087 |        0.156
       0.070 |        0.085 |        0.155
       0.072 |        0.092 |        0.164
       0.136 |        0.097 |        0.233
       0.180 |        0.145 |        0.325
       0.129 |        0.209 |        0.338
       0.228 |        0.158 |        0.386
       0.160 |        0.074 |        0.234
       0.308 |        0.116 |        0.425
       0.137 |        0.078 |        0.215
       0.092 |        0.091 |        0.183
       0.843 |        0.114 |        0.957
       0.068 |        0.091 |        0.159
       0.116 |        0.129 |        0.245
       0.205 |        0.161 |        0.366
       0.141 |        0.082 |        0.223
       0.071 |        0.090 |        0.161
       0.071 |        0.082 |        0.153
       0.087 |        0.138 |        0.225
       0.073 |        0.140 |        0.213
       0.070 |        0.127 |        0.197
       0.070 |        0.090 |        0.160
       0.075 |        0.130 |        0.205
       0.069 |        0.088 |        0.157
       0.071 |        0.083 |        0.154
       0.072 |        0.088 |        0.160
       0.071 |        0.093 |        0.164
       0.166 |        0.076 |        0.242
       0.065 |        0.074 |        0.139
       0.090 |        0.084 |        0.174
