  QueueTimes | ServiceTimes | SojournTimes

       0.125 |        0.556 |        0.681
       0.091 |        0.830 |        0.920
       0.593 |        0.582 |        1.175
       0.720 |        0.512 |        1.232
       1.189 |        0.511 |        1.699
       1.525 |        0.503 |        2.028
       0.141 |        0.629 |        0.770
       0.003 |        0.520 |        0.523
       0.126 |        0.522 |        0.648
       0.583 |        0.502 |        1.085
       0.871 |        0.504 |        1.375
       0.317 |        0.500 |        0.816
       0.129 |        0.551 |        0.680
       0.133 |        0.632 |        0.765
       0.562 |        0.524 |        1.086
       1.003 |        0.519 |        1.522
       0.139 |        0.658 |        0.796
       0.136 |        0.624 |        0.759
       0.130 |        0.557 |        0.687
       0.128 |        0.521 |        0.649
       0.137 |        0.579 |        0.716
       0.226 |        0.500 |        0.726
       0.057 |        0.525 |        0.582
       0.142 |        0.872 |        1.014
       0.990 |        0.554 |        1.544
       1.352 |        0.502 |        1.853
       1.356 |        0.497 |        1.852
       0.125 |        0.517 |        0.641
       0.124 |        0.517 |        0.641
       0.166 |        0.664 |        0.830
       0.516 |        0.512 |        1.028
       0.143 |        0.879 |        1.022
       0.129 |        0.712 |        0.841
       0.831 |        0.516 |        1.347
       1.045 |        0.497 |        1.542
       0.260 |        0.494 |        0.754
       0.400 |        0.490 |        0.890
       0.599 |        0.497 |        1.096
       0.153 |        0.504 |        0.657
       0.148 |        0.553 |        0.701
       0.148 |        0.979 |        1.127
       0.503 |        0.646 |        1.149
       0.918 |        0.514 |        1.432
       0.128 |        0.503 |        0.631
       0.126 |        0.525 |        0.652
       0.678 |        0.496 |        1.174
       0.123 |        0.518 |        0.641
       0.129 |        0.564 |        0.693
       0.125 |        0.546 |        0.671
       0.394 |        0.616 |        1.011
       0.135 |        0.584 |        0.719
       0.131 |        0.874 |        1.005
       0.089 |        0.589 |        0.678
       0.133 |        0.630 |        0.763
       0.131 |        0.584 |        0.716
       0.692 |        0.505 |        1.198
       0.126 |        0.510 |        0.636
       0.124 |        0.518 |        0.641
       0.132 |        0.753 |        0.885
       0.259 |        0.619 |        0.878
       0.131 |        0.672 |        0.803
       0.481 |        0.517 |        0.999
       0.129 |        0.524 |        0.652
       0.126 |        0.526 |        0.651
       0.122 |        0.508 |        0.631
       0.155 |        1.075 |        1.231
       0.244 |        0.617 |        0.862
       0.185 |        0.505 |        0.690
       0.508 |        0.494 |        1.002
       0.882 |        0.493 |        1.375
       0.580 |        0.499 |        1.079
       0.133 |        0.550 |        0.683
       0.146 |        0.903 |        1.048
       0.141 |        0.821 |        0.962
       0.143 |        0.760 |        0.904
       0.417 |        0.560 |        0.977
       0.131 |        0.517 |        0.648
       0.125 |        0.512 |        0.637
       0.154 |        0.649 |        0.804
       0.126 |        0.590 |        0.716
       0.136 |        0.916 |        1.052
       0.129 |        0.721 |        0.850
       0.126 |        0.599 |        0.725
       0.126 |        0.542 |        0.669
       0.120 |        0.540 |        0.661
       0.272 |        0.523 |        0.795
       0.833 |        0.511 |        1.344
       0.146 |        0.543 |        0.689
       0.733 |        0.520 |        1.253
       0.579 |        0.513 |        1.093
       0.137 |        0.629 |        0.765
       0.145 |        0.605 |        0.750
       0.127 |        0.804 |        0.932
       0.258 |        0.597 |        0.856
       0.677 |        0.502 |        1.179
       0.732 |        0.500 |        1.232
       0.130 |        0.509 |        0.639
       0.131 |        0.546 |        0.678
       0.136 |        0.624 |        0.761
       0.129 |        0.596 |        0.725
       0.739 |        0.509 |        1.249
       0.126 |        0.550 |        0.676
       0.125 |        0.599 |        0.724
       0.138 |        0.796 |        0.934
       0.486 |        0.544 |        1.030
       0.123 |        0.504 |        0.627
       0.123 |        0.506 |        0.629
       0.143 |        0.631 |        0.774
       0.132 |        0.812 |        0.944
       0.127 |        0.614 |        0.742
       0.140 |        0.539 |        0.679
       0.139 |        0.606 |        0.745
       0.515 |        0.511 |        1.026
       0.126 |        0.514 |        0.641
       0.125 |        0.513 |        0.638
       0.134 |        0.614 |        0.748
       0.132 |        0.548 |        0.680
       0.212 |        0.509 |        0.720
       0.143 |        0.791 |        0.934
       0.134 |        0.666 |        0.799
       0.160 |        0.519 |        0.679
       0.467 |        0.496 |        0.963
       0.774 |        0.493 |        1.267
       0.136 |        0.578 |        0.714
       0.343 |        0.496 |        0.839
       0.156 |        0.894 |        1.051
       0.959 |        0.582 |        1.542
       1.189 |        0.669 |        1.858
       0.129 |        0.638 |        0.767
       0.127 |        0.533 |        0.660
       0.127 |        0.522 |        0.649
       0.127 |        0.523 |        0.650
       0.699 |        0.504 |        1.203
       0.817 |        0.503 |        1.321
       0.703 |        0.499 |        1.202
       0.136 |        0.560 |        0.696
       0.138 |        0.860 |        0.998
       0.127 |        0.811 |        0.938
       0.495 |        0.558 |        1.053
       0.635 |        0.498 |        1.133
       0.140 |        0.640 |        0.780
       0.128 |        0.525 |        0.653
       0.123 |        0.518 |        0.641
       0.158 |        0.504 |        0.662
       0.013 |        0.523 |        0.536
       0.151 |        0.944 |        1.095
       1.131 |        0.629 |        1.759
       0.129 |        0.574 |        0.703
       0.134 |        0.722 |        0.856
       0.617 |        0.534 |        1.151
       0.584 |        0.503 |        1.087
       0.126 |        0.520 |        0.646
       0.105 |        0.618 |        0.723
       0.597 |        0.539 |        1.136
       0.128 |        0.619 |        0.747
       0.136 |        0.687 |        0.822
       0.205 |        0.529 |        0.734
       0.136 |        0.615 |        0.751
       0.134 |        0.588 |        0.722
       0.435 |        0.519 |        0.953
       0.126 |        0.504 |        0.630
       0.129 |        0.541 |        0.670
       0.007 |        0.499 |        0.506
       0.129 |        0.635 |        0.764
       0.136 |        0.811 |        0.947
       0.400 |        0.540 |        0.940
       0.149 |        0.516 |        0.665
       0.135 |        0.817 |        0.952
       0.126 |        0.585 |        0.711
       0.146 |        0.524 |        0.671
       0.551 |        0.525 |        1.075
       0.730 |        0.512 |        1.242
       0.036 |        0.506 |        0.542
       0.149 |        0.515 |        0.665
       0.115 |        0.529 |        0.644
       0.337 |        0.505 |        0.841
       0.148 |        0.515 |        0.663
       0.138 |        0.763 |        0.901
       0.123 |        0.554 |        0.677
       0.128 |        0.666 |        0.795
       0.840 |        0.519 |        1.359
       0.107 |        0.503 |        0.611
       0.489 |        0.499 |        0.988
       0.134 |        0.592 |        0.726
       0.127 |        0.526 |        0.652
       0.125 |        0.520 |        0.644
       0.149 |        0.971 |        1.120
       0.130 |        0.721 |        0.851
       0.126 |        0.783 |        0.908
       0.128 |        0.769 |        0.897
       0.856 |        0.567 |        1.423
       0.128 |        0.570 |        0.698
       0.694 |        0.512 |        1.206
       0.126 |        0.773 |        0.900
       0.848 |        0.568 |        1.416
       0.124 |        0.529 |        0.653
       0.130 |        0.678 |        0.808
       0.213 |        0.726 |        0.939
       0.994 |        0.522 |        1.516
       0.822 |        0.523 |        1.346
       0.124 |        0.506 |        0.630
       0.407 |        0.499 |        0.906
       0.428 |        0.506 |        0.934
       0.135 |        0.777 |        0.912
       0.616 |        0.589 |        1.205
       0.132 |        0.666 |        0.798
       0.126 |        0.603 |        0.729
       0.139 |        0.759 |        0.898
       0.721 |        0.522 |        1.243
       0.142 |        0.940 |        1.082
       1.213 |        0.636 |        1.849
       0.132 |        0.655 |        0.787
       0.133 |        0.782 |        0.915
       0.124 |        0.560 |        0.685
       0.460 |        0.512 |        0.971
       0.585 |        0.499 |        1.084
       0.138 |        0.854 |        0.992
       0.136 |        0.781 |        0.918
       0.211 |        0.533 |        0.743
       0.126 |        0.524 |        0.649
       0.127 |        0.573 |        0.700
       0.127 |        0.574 |        0.700
       0.127 |        0.558 |        0.686
       0.336 |        0.510 |        0.846
       0.149 |        0.591 |        0.740
       0.236 |        0.506 |        0.743
       0.124 |        0.511 |        0.635
       0.342 |        0.510 |        0.852
       0.129 |        0.577 |        0.707
       0.124 |        0.535 |        0.658
       0.139 |        0.643 |        0.782
       0.151 |        0.933 |        1.084
       0.780 |        0.628 |        1.409
       1.093 |        0.506 |        1.599
       0.126 |        0.502 |        0.627
       0.126 |        0.510 |        0.636
       0.139 |        0.783 |        0.922
       0.141 |        0.990 |        1.131
       0.033 |        0.661 |        0.693
       0.139 |        0.785 |        0.924
       0.131 |        0.669 |        0.800
       0.130 |        0.671 |        0.801
       0.127 |        0.535 |        0.662
       0.124 |        0.529 |        0.653
       0.139 |        0.509 |        0.648
       0.126 |        0.544 |        0.670
       0.149 |        0.960 |        1.109
       1.046 |        0.577 |        1.623
       0.127 |        0.519 |        0.646
       0.083 |        0.511 |        0.594
       0.149 |        0.525 |        0.674
       0.129 |        0.566 |        0.695
       0.117 |        0.532 |        0.649
       0.638 |        0.526 |        1.164
       0.046 |        0.530 |        0.576
       0.130 |        0.543 |        0.673
       0.149 |        0.530 |        0.679
       0.144 |        0.529 |        0.673
       0.438 |        0.512 |        0.950
       0.149 |        0.520 |        0.669
       0.128 |        0.527 |        0.654
       0.123 |        0.527 |        0.650
       0.127 |        0.532 |        0.659
       0.130 |        0.697 |        0.827
       0.124 |        0.541 |        0.665
       0.123 |        0.522 |        0.645
       0.566 |        0.511 |        1.077
       0.152 |        0.532 |        0.684
       0.125 |        0.525 |        0.650
       0.627 |        0.517 |        1.144
       0.131 |        0.586 |        0.717
       0.725 |        0.551 |        1.276
       0.128 |        0.564 |        0.692
       0.137 |        0.775 |        0.912
       0.209 |        0.576 |        0.786
       0.241 |        0.514 |        0.756
       0.005 |        0.509 |        0.515
       0.134 |        0.540 |        0.674
       0.124 |        0.551 |        0.675
       0.124 |        0.532 |        0.656
       0.123 |        0.529 |        0.652
       0.140 |        0.715 |        0.855
       0.129 |        0.674 |        0.803
       0.780 |        0.577 |        1.357
       1.415 |        0.496 |        1.911
       1.710 |        0.496 |        2.205
       0.130 |        0.541 |        0.670
       0.126 |        0.524 |        0.650
       0.125 |        0.512 |        0.636
       0.123 |        0.518 |        0.641
       0.156 |        1.008 |        1.164
       0.099 |        0.579 |        0.678
       0.137 |        0.672 |        0.810
       0.125 |        0.517 |        0.642
       0.568 |        0.509 |        1.077
       0.139 |        0.681 |        0.820
       0.139 |        0.891 |        1.031
       0.131 |        0.725 |        0.856
       0.127 |        0.600 |        0.727
       0.125 |        0.536 |        0.661
       0.124 |        0.545 |        0.669
       0.622 |        0.514 |        1.137
       0.140 |        0.520 |        0.660
       0.181 |        0.513 |        0.693
       0.155 |        0.960 |        1.115
       0.128 |        0.662 |        0.791
       0.125 |        0.544 |        0.670
       0.124 |        0.549 |        0.673
       0.642 |        0.525 |        1.167
       0.145 |        0.754 |        0.899
       0.940 |        0.572 |        1.512
       1.029 |        0.518 |        1.547
       1.077 |        0.521 |        1.599
       0.621 |        0.503 |        1.124
       0.132 |        0.556 |        0.688
       0.127 |        0.515 |        0.642
       0.130 |        0.544 |        0.673
       0.086 |        0.500 |        0.586
       0.126 |        0.547 |        0.673
       0.245 |        0.517 |        0.763
       0.128 |        0.636 |        0.764
       0.119 |        0.585 |        0.704
       0.757 |        0.530 |        1.287
       1.298 |        0.502 |        1.800
       0.672 |        0.504 |        1.177
       0.985 |        0.497 |        1.482
       0.147 |        0.539 |        0.686
       0.144 |        0.685 |        0.829
       0.140 |        0.797 |        0.937
       0.138 |        0.877 |        1.015
       0.046 |        0.621 |        0.667
       0.422 |        0.557 |        0.979
       0.794 |        0.506 |        1.300
       0.096 |        0.527 |        0.623
       0.139 |        0.588 |        0.727
       0.558 |        0.515 |        1.073
       0.678 |        0.504 |        1.182
       0.127 |        0.623 |        0.749
       0.193 |        0.848 |        1.041
       0.134 |        0.720 |        0.854
       0.124 |        0.545 |        0.670
       0.291 |        0.500 |        0.791
       0.124 |        0.515 |        0.640
       0.123 |        0.511 |        0.634
       0.144 |        0.901 |        1.045
       1.023 |        0.593 |        1.616
       1.274 |        0.505 |        1.779
       0.128 |        0.527 |        0.654
       0.663 |        0.502 |        1.165
       0.147 |        0.520 |        0.667
       0.147 |        0.513 |        0.660
       0.145 |        0.529 |        0.673
       0.155 |        0.818 |        0.974
       0.126 |        0.683 |        0.809
       0.844 |        0.547 |        1.391
       0.725 |        0.502 |        1.227
       1.044 |        0.520 |        1.565
       0.149 |        0.546 |        0.694
       0.145 |        0.512 |        0.657
       0.070 |        0.500 |        0.569
       0.046 |        0.514 |        0.560
       0.132 |        0.510 |        0.642
       0.149 |        0.515 |        0.664
       0.098 |        0.510 |        0.608
       0.165 |        0.692 |        0.857
       0.136 |        0.645 |        0.781
       0.126 |        0.559 |        0.685
       0.460 |        0.548 |        1.007
       0.127 |        0.575 |        0.702
       0.139 |        0.684 |        0.823
       0.149 |        0.953 |        1.102
       0.190 |        0.658 |        0.848
       0.909 |        0.547 |        1.456
       0.314 |        0.517 |        0.831
       0.149 |        0.738 |        0.887
       0.128 |        0.634 |        0.762
       0.137 |        0.663 |        0.801
       0.100 |        0.674 |        0.774
       0.149 |        0.538 |        0.688
       0.122 |        0.889 |        1.011
       1.194 |        0.646 |        1.840
       0.128 |        0.563 |        0.691
       0.130 |        0.581 |        0.711
       0.138 |        0.511 |        0.649
       0.148 |        0.968 |        1.116
       0.154 |        0.668 |        0.823
       0.307 |        0.505 |        0.812
       0.150 |        0.590 |        0.739
       0.115 |        0.812 |        0.927
       0.139 |        0.722 |        0.861
       0.422 |        0.550 |        0.972
       0.143 |        0.642 |        0.785
       0.129 |        0.697 |        0.826
       0.090 |        0.521 |        0.611
       0.124 |        0.509 |        0.633
       0.127 |        0.605 |        0.732
       0.137 |        0.719 |        0.856
       0.553 |        0.558 |        1.111
       0.599 |        0.512 |        1.111
       1.086 |        0.543 |        1.629
       0.128 |        0.529 |        0.658
       0.131 |        0.547 |        0.677
       0.346 |        0.504 |        0.850
       0.139 |        0.582 |        0.721
       0.125 |        0.523 |        0.648
       0.123 |        0.522 |        0.645
       0.105 |        0.506 |        0.610
       0.154 |        0.519 |        0.673
       0.138 |        0.904 |        1.042
       1.114 |        0.575 |        1.689
       0.224 |        0.500 |        0.724
       0.128 |        0.517 |        0.645
       0.126 |        0.521 |        0.647
       0.129 |        0.551 |        0.680
       0.015 |        0.509 |        0.523
       0.148 |        0.804 |        0.952
       0.145 |        0.538 |        0.683
       0.125 |        0.513 |        0.638
       0.124 |        0.524 |        0.648
       0.128 |        0.529 |        0.656
       0.125 |        0.522 |        0.647
       0.131 |        0.617 |        0.749
       0.158 |        0.513 |        0.671
       0.616 |        0.500 |        1.116
       0.140 |        0.762 |        0.902
       0.796 |        0.513 |        1.309
       0.132 |        0.578 |        0.709
       0.152 |        1.077 |        1.229
       0.132 |        0.769 |        0.901
       0.126 |        0.599 |        0.726
       0.135 |        0.511 |        0.646
       0.138 |        0.689 |        0.828
       0.351 |        0.534 |        0.885
       0.135 |        0.788 |        0.923
       0.310 |        0.535 |        0.845
       0.141 |        0.692 |        0.833
       0.138 |        0.727 |        0.865
       0.136 |        0.763 |        0.899
       0.127 |        0.775 |        0.902
       0.132 |        0.802 |        0.934
       0.124 |        0.576 |        0.699
       0.149 |        0.587 |        0.736
       0.146 |        0.552 |        0.698
       0.131 |        0.715 |        0.847
       0.134 |        0.643 |        0.777
       0.133 |        0.713 |        0.846
       0.128 |        0.571 |        0.699
       0.065 |        0.497 |        0.561
       0.123 |        0.508 |        0.631
       0.184 |        0.501 |        0.685
       0.126 |        0.535 |        0.661
       0.140 |        0.907 |        1.047
       0.127 |        0.664 |        0.791
       0.127 |        0.572 |        0.699
       0.135 |        0.630 |        0.765
       0.151 |        0.967 |        1.118
       0.124 |        0.697 |        0.821
       0.694 |        0.509 |        1.203
       0.130 |        0.554 |        0.685
       0.141 |        0.675 |        0.816
       0.126 |        0.553 |        0.680
       0.104 |        0.682 |        0.786
       0.410 |        0.571 |        0.981
       0.135 |        0.572 |        0.707
       0.589 |        0.510 |        1.099
       1.018 |        0.498 |        1.516
       0.926 |        0.503 |        1.429
       0.125 |        0.516 |        0.641
       0.127 |        0.516 |        0.644
       0.126 |        0.519 |        0.645
       0.130 |        0.543 |        0.674
       0.646 |        0.585 |        1.232
       0.127 |        0.530 |        0.656
       0.235 |        0.510 |        0.745
       0.100 |        0.507 |        0.607
       0.099 |        0.525 |        0.624
       0.126 |        0.525 |        0.651
       0.126 |        0.593 |        0.719
       0.361 |        0.509 |        0.869
       0.328 |        0.497 |        0.826
       0.138 |        0.604 |        0.742
       0.126 |        0.517 |        0.643
       0.132 |        0.552 |        0.684
       0.528 |        0.508 |        1.037
       0.959 |        0.531 |        1.491
       0.135 |        0.884 |        1.019
       0.127 |        0.680 |        0.807
       0.034 |        0.533 |        0.567
       0.127 |        0.547 |        0.673
       0.545 |        0.520 |        1.065
       1.078 |        0.494 |        1.572
       0.124 |        0.510 |        0.634
       0.146 |        0.616 |        0.762
       0.157 |        0.539 |        0.696
       0.136 |        0.501 |        0.636
       0.159 |        0.820 |        0.979
       0.729 |        0.585 |        1.314
       0.144 |        0.712 |        0.856
       0.125 |        0.580 |        0.705
       0.582 |        0.523 |        1.105
       0.138 |        0.720 |        0.858
       0.143 |        0.564 |        0.707
       0.480 |        0.528 |        1.008
       0.129 |        0.522 |        0.652
       0.127 |        0.518 |        0.645
       0.420 |        0.499 |        0.919
       0.126 |        0.518 |        0.644
       0.137 |        0.625 |        0.762
       0.134 |        0.870 |        1.004
       0.134 |        0.773 |        0.907
       0.275 |        0.570 |        0.844
       0.127 |        0.546 |        0.673
       0.147 |        0.629 |        0.776
       0.125 |        0.514 |        0.639
       0.552 |        0.494 |        1.046
       0.123 |        0.511 |        0.634
       0.138 |        0.560 |        0.698
       0.125 |        0.530 |        0.655
       0.123 |        0.564 |        0.687
       0.632 |        0.530 |        1.162
       0.058 |        0.495 |        0.553
       0.124 |        0.507 |        0.631
       0.139 |        0.590 |        0.729
       0.289 |        0.537 |        0.826
       0.152 |        0.538 |        0.690
       0.151 |        0.533 |        0.684
       0.023 |        0.512 |        0.535
       0.149 |        0.669 |        0.818
       0.143 |        0.642 |        0.785
       0.396 |        0.517 |        0.913
       0.130 |        0.578 |        0.708
       0.138 |        0.701 |        0.839
       0.125 |        0.615 |        0.740
       0.236 |        0.523 |        0.759
       0.122 |        0.514 |        0.637
