  QueueTimes | ServiceTimes | SojournTimes

       0.693 |        0.260 |        0.953
       0.958 |        0.262 |        1.221
       1.261 |        0.257 |        1.517
       0.073 |        0.265 |        0.339
       0.079 |        0.328 |        0.407
       0.074 |        0.291 |        0.365
       0.072 |        0.280 |        0.352
       0.074 |        0.346 |        0.420
       0.603 |        0.285 |        0.888
       1.031 |        0.292 |        1.324
       1.224 |        0.267 |        1.491
       1.348 |        0.272 |        1.621
       0.074 |        0.276 |        0.351
       0.081 |        0.262 |        0.344
       0.073 |        0.258 |        0.331
       0.071 |        0.276 |        0.347
       0.323 |        0.254 |        0.577
       0.073 |        0.265 |        0.338
       0.044 |        0.254 |        0.298
       0.087 |        0.312 |        0.399
       0.519 |        0.274 |        0.793
       0.370 |        0.265 |        0.635
       0.076 |        0.275 |        0.351
       0.397 |        0.271 |        0.667
       0.085 |        0.314 |        0.399
       0.282 |        0.283 |        0.565
       0.094 |        0.260 |        0.353
       0.307 |        0.275 |        0.582
       0.076 |        0.266 |        0.342
       0.078 |        0.277 |        0.355
       0.083 |        0.311 |        0.393
       0.259 |        0.268 |        0.528
       0.366 |        0.261 |        0.627
       0.075 |        0.266 |        0.341
       0.103 |        0.262 |        0.365
       0.078 |        0.284 |        0.361
       0.415 |        0.268 |        0.683
       0.073 |        0.280 |        0.353
       0.362 |        0.261 |        0.623
       0.373 |        0.314 |        0.687
       0.099 |        0.264 |        0.362
       0.089 |        0.342 |        0.431
       0.555 |        0.282 |        0.837
       0.613 |        0.284 |        0.897
       0.584 |        0.281 |        0.865
       0.076 |        0.288 |        0.363
       0.352 |        0.282 |        0.634
       0.339 |        0.278 |        0.617
       0.305 |        0.265 |        0.570
       0.074 |        0.280 |        0.354
       0.088 |        0.352 |        0.440
       0.078 |        0.326 |        0.405
       0.168 |        0.274 |        0.441
       0.085 |        0.302 |        0.387
       0.507 |        0.277 |        0.784
       0.081 |        0.289 |        0.370
       0.342 |        0.275 |        0.616
       0.524 |        0.283 |        0.807
       0.114 |        0.266 |        0.380
       0.155 |        0.273 |        0.428
       0.212 |        0.266 |        0.478
       0.132 |        0.275 |        0.407
       0.074 |        0.288 |        0.362
