  QueueTimes | ServiceTimes | SojournTimes

       0.077 |        0.091 |        0.167
       0.237 |        0.098 |        0.335
       0.239 |        0.152 |        0.391
       0.375 |        0.087 |        0.462
       0.285 |        0.140 |        0.424
       0.332 |        0.121 |        0.453
       0.733 |        0.131 |        0.865
       0.577 |        0.076 |        0.653
       0.237 |        0.120 |        0.357
       0.525 |        0.127 |        0.652
       0.235 |        0.077 |        0.312
       0.441 |        0.111 |        0.552
       0.307 |        0.099 |        0.407
       0.710 |        0.089 |        0.799
       0.072 |        0.088 |        0.161
       0.126 |        0.205 |        0.331
       0.091 |        0.082 |        0.173
       0.248 |        0.133 |        0.380
       0.264 |        0.196 |        0.460
       0.154 |        0.130 |        0.284
       0.219 |        0.156 |        0.375
       0.079 |        0.126 |        0.204
       0.792 |        0.117 |        0.909
       0.080 |        0.135 |        0.215
       0.079 |        0.158 |        0.238
       0.086 |        0.148 |        0.233
       0.081 |        0.155 |        0.236
       0.074 |        0.105 |        0.179
       0.080 |        0.106 |        0.186
       0.110 |        0.075 |        0.185
       0.166 |        0.086 |        0.253
       0.076 |        0.197 |        0.273
       0.073 |        0.097 |        0.170
       0.071 |        0.093 |        0.165
       0.073 |        0.191 |        0.264
       0.075 |        0.103 |        0.178
       0.072 |        0.089 |        0.162
       0.081 |        0.128 |        0.209
       0.084 |        0.128 |        0.212
       0.076 |        0.122 |        0.198
       0.139 |        0.088 |        0.227
       0.189 |        0.078 |        0.267
       0.133 |        0.093 |        0.226
       0.074 |        0.082 |        0.156
       0.076 |        0.114 |        0.190
       0.072 |        0.094 |        0.165
       0.081 |        0.094 |        0.174
       0.075 |        0.086 |        0.161
       0.073 |        0.085 |        0.158
       0.073 |        0.084 |        0.157
       0.070 |        0.171 |        0.241
       0.132 |        0.147 |        0.279
       0.136 |        0.080 |        0.216
       0.137 |        0.181 |        0.318
       0.070 |        0.094 |        0.164
       0.072 |        0.093 |        0.166
       0.151 |        0.081 |        0.231
       0.070 |        0.114 |        0.183
       0.106 |        0.633 |        0.739
       0.073 |        0.115 |        0.188
       0.074 |        0.104 |        0.178
       0.082 |        0.132 |        0.214
       0.084 |        0.131 |        0.215
       0.287 |        0.085 |        0.372
       0.232 |        0.074 |        0.306
       0.174 |        0.684 |        0.858
       0.009 |        0.109 |        0.118
       0.136 |        0.120 |        0.256
       0.112 |        0.086 |        0.198
       0.069 |        0.626 |        0.695
       0.210 |        0.082 |        0.292
       0.151 |        0.081 |        0.232
       0.162 |        0.084 |        0.246
       0.253 |        0.093 |        0.346
       0.091 |        0.123 |        0.214
       0.074 |        0.092 |        0.166
       0.080 |        0.092 |        0.173
       0.077 |        0.089 |        0.166
       0.128 |        0.081 |        0.209
       0.076 |        0.090 |        0.166
       0.076 |        0.093 |        0.170
       0.075 |        0.135 |        0.210
       0.158 |        0.111 |        0.269
       0.072 |        0.081 |        0.153
       0.109 |        0.155 |        0.264
       0.073 |        0.082 |        0.155
       0.076 |        0.076 |        0.153
       0.081 |        0.123 |        0.204
       0.162 |        0.130 |        0.292
       0.078 |        0.079 |        0.157
       0.079 |        0.085 |        0.163
       0.081 |        0.140 |        0.221
       0.072 |        0.103 |        0.174
       0.167 |        0.133 |        0.300
       0.080 |        0.109 |        0.188
       0.074 |        0.097 |        0.171
       0.074 |        0.090 |        0.164
       0.069 |        0.136 |        0.205
       0.164 |        0.116 |        0.279
       0.078 |        0.130 |        0.208
       0.073 |        0.079 |        0.152
       0.077 |        0.095 |        0.173
       0.075 |        0.097 |        0.172
       0.072 |        0.184 |        0.257
       0.073 |        0.094 |        0.166
       0.135 |        0.081 |        0.216
       0.077 |        0.091 |        0.168
       0.154 |        0.143 |        0.297
       0.075 |        0.085 |        0.160
       0.086 |        0.095 |        0.181
