  QueueTimes | ServiceTimes | SojournTimes

       0.147 |        0.523 |        0.671
       0.124 |        0.541 |        0.664
       0.150 |        0.527 |        0.676
       0.079 |        0.543 |        0.622
       0.156 |        0.537 |        0.693
       0.691 |        0.513 |        1.203
       0.476 |        0.524 |        1.000
       0.670 |        0.510 |        1.179
       0.157 |        0.560 |        0.717
       0.128 |        0.544 |        0.673
       0.031 |        0.503 |        0.534
       0.121 |        0.509 |        0.630
       0.451 |        0.503 |        0.954
       0.229 |        0.495 |        0.723
       0.632 |        0.503 |        1.136
       0.785 |        0.493 |        1.278
       0.664 |        0.495 |        1.160
       0.128 |        0.520 |        0.648
       0.110 |        0.564 |        0.674
       0.010 |        0.511 |        0.521
       0.121 |        0.517 |        0.638
       0.121 |        0.510 |        0.631
       0.127 |        0.543 |        0.670
       0.123 |        0.534 |        0.657
       0.121 |        0.515 |        0.636
       0.123 |        0.519 |        0.642
       0.121 |        0.517 |        0.638
       0.122 |        0.518 |        0.640
       0.174 |        0.504 |        0.678
       0.168 |        0.514 |        0.682
       0.122 |        0.514 |        0.636
       0.121 |        0.511 |        0.632
       0.124 |        0.523 |        0.648
       0.121 |        0.535 |        0.656
       0.123 |        0.521 |        0.644
       0.127 |        0.517 |        0.644
       0.122 |        0.517 |        0.639
       0.575 |        0.510 |        1.085
       0.122 |        0.512 |        0.634
       0.309 |        0.504 |        0.813
       0.752 |        0.500 |        1.253
       0.121 |        0.512 |        0.633
       0.622 |        0.505 |        1.126
       0.931 |        0.501 |        1.432
       0.120 |        0.517 |        0.637
       0.121 |        0.511 |        0.632
       0.120 |        0.517 |        0.637
       0.149 |        0.512 |        0.662
       0.120 |        0.512 |        0.632
       0.685 |        0.501 |        1.186
       0.123 |        0.540 |        0.663
       0.146 |        0.569 |        0.715
       0.558 |        0.508 |        1.066
       0.150 |        0.540 |        0.690
       0.447 |        0.503 |        0.949
       0.140 |        0.502 |        0.642
       0.124 |        0.512 |        0.636
       0.483 |        0.498 |        0.980
       0.385 |        0.515 |        0.900
       0.862 |        0.497 |        1.359
       0.853 |        0.496 |        1.349
       0.870 |        0.501 |        1.371
       1.066 |        0.496 |        1.562
       1.406 |        0.506 |        1.912
       0.076 |        0.496 |        0.571
       0.204 |        0.509 |        0.713
       0.147 |        0.514 |        0.660
       0.143 |        0.512 |        0.655
       0.123 |        0.510 |        0.634
       0.124 |        0.517 |        0.641
       0.121 |        0.516 |        0.637
       0.144 |        0.513 |        0.657
       0.147 |        0.517 |        0.664
       0.470 |        0.499 |        0.969
       0.145 |        0.518 |        0.663
       0.145 |        0.511 |        0.656
       0.125 |        0.514 |        0.639
       0.121 |        0.514 |        0.635
       0.124 |        0.535 |        0.659
       0.122 |        0.511 |        0.634
       0.186 |        0.498 |        0.684
       0.703 |        0.502 |        1.205
       0.157 |        0.508 |        0.665
       0.143 |        0.512 |        0.655
       0.122 |        0.510 |        0.632
       0.146 |        0.526 |        0.672
       0.122 |        0.511 |        0.634
       0.123 |        0.526 |        0.649
       0.121 |        0.513 |        0.634
       0.145 |        0.526 |        0.670
       0.121 |        0.511 |        0.632
       0.124 |        0.504 |        0.627
       0.003 |        0.497 |        0.501
       0.123 |        0.512 |        0.634
       0.146 |        0.517 |        0.664
       0.145 |        0.512 |        0.656
       0.146 |        0.514 |        0.659
       0.123 |        0.512 |        0.635
       0.145 |        0.516 |        0.661
       0.146 |        0.513 |        0.660
       0.145 |        0.514 |        0.659
       0.132 |        0.550 |        0.682
       0.138 |        0.564 |        0.702
       0.631 |        0.508 |        1.140
       0.130 |        0.534 |        0.664
       0.124 |        0.528 |        0.652
       0.123 |        0.519 |        0.641
       0.147 |        0.527 |        0.673
       0.125 |        0.524 |        0.649
       0.125 |        0.515 |        0.640
       0.137 |        0.556 |        0.693
       0.123 |        0.508 |        0.631
       0.156 |        0.506 |        0.662
       0.373 |        0.496 |        0.869
       0.122 |        0.506 |        0.628
       0.692 |        0.500 |        1.192
       0.640 |        0.493 |        1.133
       0.787 |        0.492 |        1.279
       0.540 |        0.493 |        1.033
       0.123 |        0.514 |        0.637
       0.125 |        0.515 |        0.640
       0.123 |        0.514 |        0.637
       0.122 |        0.521 |        0.643
       0.121 |        0.513 |        0.634
       0.167 |        0.510 |        0.678
       0.126 |        0.516 |        0.641
       0.121 |        0.505 |        0.626
       0.121 |        0.517 |        0.639
       0.121 |        0.527 |        0.648
       0.125 |        0.522 |        0.647
       0.134 |        0.565 |        0.699
       0.137 |        0.573 |        0.710
       0.186 |        0.531 |        0.717
       0.131 |        0.527 |        0.657
       0.258 |        0.506 |        0.764
       0.123 |        0.515 |        0.638
       0.526 |        0.509 |        1.035
       0.126 |        0.596 |        0.722
       0.135 |        0.584 |        0.719
