  QueueTimes | ServiceTimes | SojournTimes

       0.667 |        0.246 |        0.913
       0.916 |        0.245 |        1.160
       1.198 |        0.240 |        1.437
       0.099 |        0.249 |        0.348
       0.095 |        0.253 |        0.348
       0.092 |        0.250 |        0.343
       0.071 |        0.241 |        0.312
       0.103 |        0.252 |        0.355
       0.489 |        0.240 |        0.729
       0.869 |        0.260 |        1.129
       1.023 |        0.238 |        1.261
       1.112 |        0.247 |        1.359
       0.097 |        0.242 |        0.339
       0.066 |        0.244 |        0.310
       0.098 |        0.240 |        0.337
       0.093 |        0.256 |        0.349
       0.321 |        0.237 |        0.558
       0.094 |        0.246 |        0.340
       0.042 |        0.243 |        0.285
       0.094 |        0.252 |        0.346
       0.424 |        0.249 |        0.673
       0.246 |        0.245 |        0.492
       0.097 |        0.242 |        0.339
       0.376 |        0.246 |        0.622
       0.040 |        0.239 |        0.280
       0.160 |        0.253 |        0.414
       0.071 |        0.242 |        0.313
       0.264 |        0.244 |        0.508
       0.097 |        0.240 |        0.337
       0.097 |        0.245 |        0.342
       0.097 |        0.250 |        0.346
       0.176 |        0.246 |        0.422
       0.258 |        0.237 |        0.495
       0.073 |        0.248 |        0.322
       0.091 |        0.239 |        0.330
       0.074 |        0.247 |        0.321
       0.366 |        0.247 |        0.613
       0.070 |        0.245 |        0.315
       0.318 |        0.237 |        0.555
       0.304 |        0.245 |        0.549
       0.113 |        0.243 |        0.357
       0.094 |        0.255 |        0.349
       0.428 |        0.237 |        0.664
       0.429 |        0.244 |        0.673
       0.351 |        0.237 |        0.588
       0.072 |        0.246 |        0.318
       0.297 |        0.248 |        0.545
       0.221 |        0.242 |        0.463
       0.146 |        0.233 |        0.379
       0.095 |        0.245 |        0.340
       0.096 |        0.239 |        0.335
       0.093 |        0.254 |        0.347
       0.093 |        0.239 |        0.332
       0.140 |        0.242 |        0.381
       0.492 |        0.234 |        0.726
       0.095 |        0.244 |        0.339
       0.307 |        0.238 |        0.545
       0.441 |        0.249 |        0.690
       0.160 |        0.236 |        0.397
       0.162 |        0.243 |        0.405
       0.180 |        0.233 |        0.413
       0.060 |        0.240 |        0.300
       0.094 |        0.246 |        0.340
       0.198 |        0.239 |        0.437
       0.338 |        0.245 |        0.583
       0.139 |        0.240 |        0.379
       0.453 |        0.231 |        0.684
       0.095 |        0.253 |        0.348
       0.096 |        0.233 |        0.329
       0.103 |        0.239 |        0.342
       0.352 |        0.232 |        0.584
       0.715 |        0.257 |        0.973
       0.070 |        0.234 |        0.304
       0.153 |        0.251 |        0.405
       0.093 |        0.235 |        0.328
       0.144 |        0.246 |        0.391
       0.096 |        0.232 |        0.328
       0.444 |        0.239 |        0.683
       0.070 |        0.244 |        0.314
       0.093 |        0.239 |        0.332
       0.010 |        0.233 |        0.243
       0.098 |        0.241 |        0.339
       0.104 |        0.236 |        0.340
       0.328 |        0.249 |        0.577
       0.092 |        0.238 |        0.330
       0.092 |        0.242 |        0.334
       0.310 |        0.231 |        0.541
       0.642 |        0.239 |        0.881
       0.095 |        0.245 |        0.341
       0.099 |        0.243 |        0.342
       0.094 |        0.231 |        0.325
       0.098 |        0.239 |        0.337
       0.339 |        0.233 |        0.572
       0.254 |        0.239 |        0.493
       0.557 |        0.241 |        0.798
       0.564 |        0.244 |        0.808
       0.120 |        0.232 |        0.352
       0.093 |        0.240 |        0.333
       0.094 |        0.232 |        0.327
       0.251 |        0.246 |        0.497
       0.071 |        0.233 |        0.304
       0.094 |        0.240 |        0.334
       0.099 |        0.236 |        0.335
       0.092 |        0.239 |        0.331
       0.096 |        0.244 |        0.341
       0.097 |        0.241 |        0.337
       0.364 |        0.233 |        0.598
       0.096 |        0.244 |        0.340
       0.320 |        0.229 |        0.549
       0.122 |        0.238 |        0.360
       0.094 |        0.246 |        0.339
       0.085 |        0.240 |        0.325
       0.095 |        0.234 |        0.330
       0.255 |        0.238 |        0.494
       0.214 |        0.230 |        0.444
       0.573 |        0.248 |        0.822
       0.913 |        0.234 |        1.147
       0.649 |        0.240 |        0.888
       0.891 |        0.230 |        1.121
       0.108 |        0.245 |        0.353
       0.098 |        0.244 |        0.343
       0.070 |        0.240 |        0.309
       0.432 |        0.231 |        0.663
       0.097 |        0.245 |        0.342
       0.093 |        0.234 |        0.327
       0.069 |        0.252 |        0.322
       0.096 |        0.234 |        0.330
       0.093 |        0.244 |        0.337
       0.374 |        0.232 |        0.607
       0.143 |        0.237 |        0.380
       0.094 |        0.237 |        0.331
       0.095 |        0.253 |        0.348
       0.309 |        0.234 |        0.543
       0.094 |        0.252 |        0.346
       0.094 |        0.239 |        0.333
       0.071 |        0.248 |        0.318
       0.412 |        0.253 |        0.664
       0.643 |        0.246 |        0.890
       0.100 |        0.251 |        0.350
       0.095 |        0.250 |        0.345
       0.227 |        0.244 |        0.471
       0.095 |        0.259 |        0.354
       0.137 |        0.252 |        0.390
       0.124 |        0.248 |        0.372
       0.069 |        0.243 |        0.313
       0.296 |        0.252 |        0.547
       0.121 |        0.244 |        0.364
       0.092 |        0.266 |        0.358
       0.165 |        0.248 |        0.413
       0.117 |        0.263 |        0.380
       0.078 |        0.245 |        0.323
       0.070 |        0.261 |        0.331
       0.110 |        0.255 |        0.365
       0.093 |        0.252 |        0.346
       0.097 |        0.248 |        0.345
       0.099 |        0.254 |        0.354
       0.125 |        0.246 |        0.371
       0.442 |        0.262 |        0.704
       0.626 |        0.242 |        0.867
       0.370 |        0.248 |        0.618
       0.502 |        0.243 |        0.745
       0.300 |        0.245 |        0.546
       0.643 |        0.257 |        0.899
       0.730 |        0.242 |        0.972
       0.570 |        0.240 |        0.810
       0.072 |        0.254 |        0.326
       0.278 |        0.241 |        0.519
       0.206 |        0.248 |        0.454
       0.528 |        0.257 |        0.786
       0.094 |        0.247 |        0.341
       0.072 |        0.246 |        0.318
       0.095 |        0.253 |        0.348
       0.071 |        0.246 |        0.317
       0.096 |        0.259 |        0.354
       0.093 |        0.242 |        0.335
       0.099 |        0.246 |        0.345
       0.072 |        0.243 |        0.315
       0.157 |        0.318 |        0.475
       0.074 |        0.278 |        0.352
       0.094 |        0.267 |        0.361
       0.096 |        0.258 |        0.354
       0.174 |        0.266 |        0.440
       0.093 |        0.257 |        0.351
       0.176 |        0.267 |        0.443
       0.289 |        0.263 |        0.552
       0.274 |        0.258 |        0.533
       0.593 |        0.253 |        0.846
       0.075 |        0.271 |        0.346
       0.037 |        0.254 |        0.291
       0.102 |        0.271 |        0.373
       0.074 |        0.253 |        0.327
       0.100 |        0.262 |        0.362
       0.335 |        0.256 |        0.592
       0.258 |        0.262 |        0.520
       0.223 |        0.262 |        0.485
       0.599 |        0.261 |        0.860
       0.099 |        0.252 |        0.352
       0.100 |        0.259 |        0.359
       0.252 |        0.251 |        0.503
       0.522 |        0.266 |        0.789
       0.098 |        0.253 |        0.351
       0.097 |        0.259 |        0.356
       0.085 |        0.248 |        0.333
       0.094 |        0.260 |        0.354
       0.171 |        0.248 |        0.419
       0.076 |        0.271 |        0.346
       0.099 |        0.252 |        0.351
       0.071 |        0.259 |        0.330
       0.169 |        0.250 |        0.419
       0.070 |        0.258 |        0.328
       0.372 |        0.259 |        0.631
       0.095 |        0.271 |        0.365
       0.477 |        0.253 |        0.730
       0.740 |        0.253 |        0.994
       0.103 |        0.251 |        0.354
       0.163 |        0.780 |        0.944
       0.800 |        0.252 |        1.052
       0.413 |        0.252 |        0.665
       0.074 |        0.251 |        0.325
       0.094 |        0.249 |        0.344
       0.122 |        0.249 |        0.371
       0.381 |        0.252 |        0.633
       0.206 |        0.248 |        0.454
       0.021 |        0.260 |        0.281
       0.072 |        0.253 |        0.325
       0.095 |        0.253 |        0.348
       0.306 |        0.248 |        0.555
       0.094 |        0.256 |        0.351
       0.095 |        0.254 |        0.349
       0.095 |        0.253 |        0.348
       0.388 |        0.248 |        0.635
       0.071 |        0.259 |        0.330
       0.074 |        0.256 |        0.330
       0.075 |        0.262 |        0.337
       0.073 |        0.255 |        0.328
       0.102 |        0.255 |        0.357
       0.070 |        0.255 |        0.325
       0.096 |        0.251 |        0.347
       0.098 |        0.256 |        0.355
       0.095 |        0.256 |        0.351
       0.096 |        0.266 |        0.362
       0.095 |        0.259 |        0.354
       0.070 |        0.256 |        0.326
       0.093 |        0.259 |        0.352
       0.418 |        0.249 |        0.667
       0.272 |        0.248 |        0.520
       0.459 |        0.255 |        0.714
       0.144 |        0.258 |        0.402
       0.095 |        0.251 |        0.345
       0.096 |        0.255 |        0.351
       0.100 |        0.254 |        0.354
       0.499 |        0.267 |        0.765
       0.331 |        0.250 |        0.582
       0.071 |        0.251 |        0.322
       0.156 |        0.252 |        0.407
       0.010 |        0.251 |        0.260
       0.095 |        0.252 |        0.347
       0.097 |        0.257 |        0.354
       0.099 |        0.252 |        0.351
       0.093 |        0.257 |        0.350
       0.300 |        0.251 |        0.551
       0.095 |        0.256 |        0.350
       0.094 |        0.252 |        0.346
       0.062 |        0.256 |        0.318
       0.096 |        0.253 |        0.349
       0.073 |        0.259 |        0.332
       0.068 |        0.246 |        0.314
       0.094 |        0.256 |        0.350
       0.114 |        0.254 |        0.368
       0.470 |        0.254 |        0.724
       0.446 |        0.267 |        0.713
       0.670 |        0.251 |        0.921
       0.219 |        0.248 |        0.467
       0.097 |        0.264 |        0.361
       0.101 |        0.252 |        0.353
       0.073 |        0.260 |        0.333
       0.357 |        0.246 |        0.602
       0.399 |        0.251 |        0.650
       0.365 |        0.246 |        0.611
       0.096 |        0.259 |        0.355
       0.013 |        0.250 |        0.263
       0.244 |        0.252 |        0.496
       0.071 |        0.256 |        0.327
       0.094 |        0.251 |        0.345
       0.101 |        0.249 |        0.350
       0.374 |        0.254 |        0.628
       0.322 |        0.246 |        0.568
       0.666 |        0.251 |        0.917
       0.072 |        0.252 |        0.324
       0.097 |        0.251 |        0.347
       0.095 |        0.251 |        0.346
       0.097 |        0.251 |        0.348
       0.070 |        0.248 |        0.318
       0.097 |        0.256 |        0.353
       0.109 |        0.251 |        0.359
       0.094 |        0.251 |        0.345
       0.225 |        0.250 |        0.476
       0.466 |        0.247 |        0.713
       0.745 |        0.246 |        0.991
       0.479 |        0.258 |        0.737
       0.438 |        0.248 |        0.686
       0.097 |        0.255 |        0.351
       0.124 |        0.249 |        0.373
       0.208 |        0.249 |        0.457
       0.096 |        0.248 |        0.343
       0.196 |        0.264 |        0.460
       0.096 |        0.251 |        0.347
       0.103 |        0.251 |        0.354
       0.197 |        0.246 |        0.443
       0.095 |        0.261 |        0.356
       0.070 |        0.247 |        0.317
       0.109 |        0.249 |        0.357
       0.097 |        0.252 |        0.349
       0.115 |        0.248 |        0.363
       0.145 |        0.251 |        0.396
       0.099 |        0.251 |        0.350
       0.070 |        0.248 |        0.318
       0.324 |        0.255 |        0.578
       0.301 |        0.248 |        0.550
       0.094 |        0.249 |        0.343
       0.101 |        0.249 |        0.350
       0.078 |        0.258 |        0.337
       0.071 |        0.255 |        0.326
       0.394 |        0.253 |        0.647
       0.026 |        0.246 |        0.272
       0.298 |        0.251 |        0.549
       0.169 |        0.260 |        0.429
       0.094 |        0.261 |        0.355
       0.385 |        0.248 |        0.633
       0.529 |        0.253 |        0.782
       0.095 |        0.251 |        0.346
       0.093 |        0.253 |        0.346
       0.095 |        0.253 |        0.348
       0.193 |        0.252 |        0.445
       0.095 |        0.252 |        0.347
       0.060 |        0.300 |        0.359
       0.070 |        0.264 |        0.333
       0.158 |        0.260 |        0.418
       0.154 |        0.259 |        0.413
       0.070 |        0.263 |        0.333
       0.070 |        0.264 |        0.334
       0.249 |        0.262 |        0.512
       0.328 |        0.259 |        0.587
       0.071 |        0.264 |        0.334
       0.077 |        0.263 |        0.340
       0.070 |        0.265 |        0.334
       0.070 |        0.262 |        0.332
       0.069 |        0.268 |        0.337
       0.070 |        0.258 |        0.328
       0.075 |        0.272 |        0.347
       0.121 |        0.279 |        0.400
       0.166 |        0.266 |        0.431
       0.298 |        0.261 |        0.559
       0.070 |        0.267 |        0.337
       0.069 |        0.262 |        0.332
       0.070 |        0.263 |        0.333
       0.069 |        0.262 |        0.331
       0.076 |        0.264 |        0.340
       0.070 |        0.262 |        0.332
       0.251 |        0.293 |        0.543
       0.070 |        0.260 |        0.330
       0.071 |        0.263 |        0.334
       0.319 |        0.251 |        0.570
       0.069 |        0.261 |        0.330
       0.070 |        0.269 |        0.338
       0.339 |        0.258 |        0.597
       0.132 |        0.254 |        0.386
       0.069 |        0.270 |        0.339
       0.069 |        0.250 |        0.320
       0.105 |        0.258 |        0.363
       0.070 |        0.267 |        0.337
       0.069 |        0.265 |        0.334
       0.346 |        0.253 |        0.599
       0.070 |        0.259 |        0.329
       0.071 |        0.252 |        0.323
       0.070 |        0.268 |        0.338
       0.071 |        0.257 |        0.328
       0.435 |        0.261 |        0.696
       0.070 |        0.250 |        0.320
       0.070 |        0.259 |        0.329
       0.117 |        0.265 |        0.382
       0.129 |        0.260 |        0.389
       0.165 |        0.249 |        0.414
       0.265 |        0.256 |        0.521
       0.516 |        0.252 |        0.767
       0.610 |        0.256 |        0.866
       0.071 |        0.273 |        0.344
       0.484 |        0.255 |        0.740
       0.284 |        0.249 |        0.533
       0.646 |        0.260 |        0.906
       0.705 |        0.246 |        0.951
       0.074 |        0.269 |        0.343
       0.070 |        0.263 |        0.333
       0.239 |        0.257 |        0.496
       0.223 |        0.249 |        0.472
       0.073 |        0.263 |        0.336
       0.147 |        0.258 |        0.405
       0.070 |        0.261 |        0.331
       0.034 |        0.247 |        0.281
       0.071 |        0.257 |        0.328
       0.218 |        0.263 |        0.480
       0.563 |        0.265 |        0.827
       0.830 |        0.249 |        1.079
       1.216 |        0.253 |        1.469
       1.217 |        0.247 |        1.464
       1.349 |        0.254 |        1.603
       1.057 |        0.245 |        1.302
       1.099 |        0.261 |        1.360
       0.071 |        0.247 |        0.319
       0.075 |        0.261 |        0.336
       0.308 |        0.247 |        0.556
       0.021 |        0.255 |        0.276
       0.139 |        0.259 |        0.398
       0.335 |        0.256 |        0.591
       0.072 |        0.251 |        0.323
       0.069 |        0.255 |        0.324
       0.192 |        0.254 |        0.445
       0.288 |        0.269 |        0.558
       0.537 |        0.244 |        0.781
       0.646 |        0.252 |        0.898
       0.814 |        0.248 |        1.063
       0.343 |        0.264 |        0.607
       0.446 |        0.248 |        0.693
       0.707 |        0.257 |        0.964
       0.855 |        0.248 |        1.103
       0.073 |        0.267 |        0.339
       0.184 |        0.294 |        0.477
       0.072 |        0.258 |        0.330
       0.457 |        0.257 |        0.713
       0.843 |        0.249 |        1.092
       0.043 |        0.242 |        0.285
       0.062 |        0.250 |        0.312
       0.070 |        0.240 |        0.310
       0.118 |        0.257 |        0.375
       0.255 |        0.237 |        0.492
       0.165 |        0.244 |        0.409
       0.326 |        0.236 |        0.562
       0.406 |        0.244 |        0.650
       0.070 |        0.250 |        0.320
       0.116 |        0.244 |        0.361
       0.069 |        0.238 |        0.307
       0.070 |        0.249 |        0.319
       0.072 |        0.239 |        0.311
       0.378 |        0.243 |        0.622
       0.128 |        0.250 |        0.378
       0.069 |        0.243 |        0.312
       0.451 |        0.235 |        0.686
       0.541 |        0.243 |        0.784
       0.543 |        0.236 |        0.779
       0.069 |        0.253 |        0.323
       0.402 |        0.236 |        0.638
       0.069 |        0.246 |        0.315
       0.070 |        0.245 |        0.315
       0.069 |        0.247 |        0.316
       0.084 |        0.245 |        0.329
       0.089 |        0.239 |        0.328
       0.430 |        0.238 |        0.668
       0.070 |        0.242 |        0.312
       0.069 |        0.240 |        0.309
       0.157 |        0.252 |        0.410
       0.098 |        0.236 |        0.333
       0.162 |        0.242 |        0.404
