  QueueTimes | ServiceTimes | SojournTimes

       0.056 |        0.085 |        0.141
       0.071 |        0.077 |        0.148
       0.102 |        0.070 |        0.173
       0.112 |        0.080 |        0.192
       0.066 |        0.087 |        0.153
       0.075 |        0.074 |        0.149
       0.074 |        0.081 |        0.155
       0.160 |        0.072 |        0.232
       0.055 |        0.105 |        0.161
       0.172 |        0.063 |        0.235
       0.073 |        0.076 |        0.149
       0.196 |        0.068 |        0.264
       0.114 |        0.089 |        0.202
       0.143 |        0.066 |        0.210
       0.069 |        0.063 |        0.133
       0.073 |        0.067 |        0.140
       0.063 |        0.055 |        0.118
       0.122 |        0.074 |        0.196
       0.070 |        0.069 |        0.139
       0.082 |        0.063 |        0.145
       0.023 |        0.077 |        0.100
       0.030 |        0.067 |        0.096
       0.118 |        0.088 |        0.206
       0.023 |        0.078 |        0.101
       0.069 |        0.064 |        0.133
       0.131 |        0.059 |        0.190
       0.068 |        0.063 |        0.132
       0.067 |        0.071 |        0.139
       0.135 |        0.084 |        0.219
       0.223 |        0.057 |        0.280
       0.152 |        0.205 |        0.356
       0.033 |        0.067 |        0.100
       0.104 |        0.056 |        0.160
       0.070 |        0.166 |        0.236
       0.040 |        0.058 |        0.097
       0.069 |        0.059 |        0.128
       0.069 |        0.067 |        0.136
       0.068 |        0.087 |        0.155
       0.052 |        0.057 |        0.109
       0.136 |        0.060 |        0.196
       0.068 |        0.062 |        0.129
       0.178 |        0.068 |        0.246
       0.070 |        0.064 |        0.134
       0.069 |        0.079 |        0.148
       0.077 |        0.074 |        0.151
       0.173 |        0.083 |        0.256
       0.071 |        0.085 |        0.156
       0.041 |        0.142 |        0.183
       0.089 |        0.086 |        0.175
       0.087 |        0.066 |        0.153
       0.165 |        0.071 |        0.235
       0.249 |        0.063 |        0.313
       0.114 |        0.070 |        0.185
       0.069 |        0.066 |        0.135
       0.073 |        0.077 |        0.149
       0.054 |        0.198 |        0.252
       0.072 |        0.096 |        0.167
       0.100 |        0.073 |        0.172
       0.053 |        0.130 |        0.183
       0.167 |        0.087 |        0.255
       0.071 |        0.064 |        0.135
       0.069 |        0.090 |        0.159
       0.070 |        0.091 |        0.161
       0.168 |        0.065 |        0.233
