  QueueTimes | ServiceTimes | SojournTimes

       0.072 |        0.110 |        0.182
       0.193 |        0.069 |        0.263
       0.203 |        0.077 |        0.280
       0.233 |        0.102 |        0.334
       0.112 |        0.077 |        0.189
       0.415 |        0.075 |        0.490
       0.083 |        0.075 |        0.158
       0.004 |        0.064 |        0.068
       0.375 |        0.068 |        0.443
       0.476 |        0.113 |        0.589
       0.083 |        0.099 |        0.182
       0.169 |        0.086 |        0.254
       0.109 |        0.075 |        0.185
       0.112 |        0.076 |        0.189
       0.073 |        0.080 |        0.153
       0.077 |        0.129 |        0.205
       0.070 |        0.078 |        0.148
       0.070 |        0.106 |        0.176
       0.131 |        0.089 |        0.219
       0.073 |        0.097 |        0.170
       0.070 |        0.111 |        0.181
       0.070 |        0.094 |        0.165
       0.072 |        0.088 |        0.160
       0.071 |        0.122 |        0.193
       0.070 |        0.076 |        0.146
       0.070 |        0.077 |        0.148
       0.074 |        0.085 |        0.159
       0.073 |        0.085 |        0.157
       0.072 |        0.076 |        0.148
       0.073 |        0.085 |        0.157
       0.114 |        0.111 |        0.225
       0.074 |        0.086 |        0.160
       0.071 |        0.099 |        0.170
       0.073 |        0.084 |        0.157
       0.144 |        0.095 |        0.239
       0.072 |        0.080 |        0.152
       0.070 |        0.082 |        0.152
       0.084 |        0.155 |        0.239
       0.071 |        0.083 |        0.154
       0.072 |        0.092 |        0.164
       0.099 |        0.092 |        0.191
       0.071 |        0.083 |        0.154
       0.071 |        0.323 |        0.395
       0.072 |        0.085 |        0.157
       0.079 |        0.150 |        0.230
       0.158 |        0.077 |        0.234
       0.211 |        0.370 |        0.581
       0.112 |        0.088 |        0.200
       0.071 |        0.083 |        0.154
       0.069 |        0.080 |        0.149
       0.101 |        0.089 |        0.190
       0.166 |        0.093 |        0.259
       0.102 |        0.104 |        0.205
       0.228 |        0.084 |        0.312
       0.073 |        0.079 |        0.152
       0.106 |        0.105 |        0.211
       0.122 |        0.086 |        0.208
       0.074 |        0.435 |        0.509
       0.075 |        0.092 |        0.168
       0.074 |        0.088 |        0.163
       0.057 |        0.119 |        0.176
       0.133 |        0.100 |        0.232
       0.073 |        0.083 |        0.156
       0.077 |        0.080 |        0.158
       0.071 |        0.083 |        0.154
       0.119 |        0.283 |        0.402
       0.111 |        0.077 |        0.188
       0.070 |        0.088 |        0.158
       0.071 |        0.089 |        0.160
       0.100 |        0.076 |        0.176
       0.072 |        0.081 |        0.153
       0.070 |        0.086 |        0.155
       0.077 |        0.075 |        0.152
       0.136 |        0.117 |        0.253
       0.072 |        0.111 |        0.184
       0.070 |        0.088 |        0.159
       0.071 |        0.082 |        0.152
       0.074 |        0.089 |        0.162
       0.112 |        0.082 |        0.193
       0.080 |        0.148 |        0.228
       0.120 |        0.083 |        0.204
       0.151 |        0.123 |        0.274
       0.297 |        0.108 |        0.405
       0.094 |        0.087 |        0.180
       0.171 |        0.092 |        0.263
       0.073 |        0.085 |        0.158
       0.073 |        0.079 |        0.153
       0.071 |        0.085 |        0.156
       0.030 |        0.087 |        0.118
       0.074 |        0.079 |        0.153
       0.074 |        0.077 |        0.151
       0.071 |        0.079 |        0.150
       0.072 |        0.084 |        0.155
       0.075 |        0.085 |        0.160
       0.073 |        0.091 |        0.164
       0.071 |        0.095 |        0.166
       0.072 |        0.095 |        0.167
       0.073 |        0.078 |        0.152
       0.121 |        0.072 |        0.193
       0.071 |        0.079 |        0.150
       0.071 |        0.086 |        0.157
       0.071 |        0.088 |        0.160
       0.070 |        0.073 |        0.143
       0.071 |        0.083 |        0.154
       0.073 |        0.086 |        0.159
       0.130 |        0.081 |        0.211
       0.072 |        0.106 |        0.178
       0.071 |        0.119 |        0.189
       0.071 |        0.080 |        0.150
       0.135 |        0.123 |        0.258
       0.071 |        0.100 |        0.171
       0.070 |        0.079 |        0.149
       0.074 |        0.078 |        0.152
       0.062 |        0.115 |        0.177
       0.075 |        0.082 |        0.157
       0.069 |        0.082 |        0.151
       0.073 |        0.121 |        0.194
       0.073 |        0.080 |        0.152
       0.070 |        0.086 |        0.156
       0.108 |        0.123 |        0.232
       0.073 |        0.085 |        0.158
       0.071 |        0.085 |        0.156
       0.071 |        0.086 |        0.157
       0.069 |        0.437 |        0.505
       0.073 |        0.111 |        0.184
       0.072 |        0.080 |        0.152
       0.139 |        0.081 |        0.220
       0.070 |        0.081 |        0.152
       0.068 |        0.079 |        0.147
       0.202 |        0.085 |        0.287
       0.152 |        0.079 |        0.231
       0.114 |        0.111 |        0.225
       0.087 |        0.082 |        0.169
       0.073 |        0.079 |        0.151
       0.122 |        0.088 |        0.210
       0.070 |        0.082 |        0.152
       0.075 |        0.097 |        0.173
       0.087 |        0.073 |        0.160
       0.100 |        0.084 |        0.183
       0.071 |        0.087 |        0.157
       0.072 |        0.089 |        0.161
       0.130 |        0.078 |        0.209
       0.077 |        0.091 |        0.168
       0.134 |        0.112 |        0.246
       0.218 |        0.111 |        0.329
       0.074 |        0.094 |        0.169
       0.072 |        0.082 |        0.153
       0.105 |        0.080 |        0.185
       0.071 |        0.150 |        0.222
       0.074 |        0.075 |        0.149
       0.073 |        0.079 |        0.151
       0.078 |        0.075 |        0.154
       0.070 |        0.079 |        0.150
       0.072 |        0.084 |        0.156
       0.138 |        0.079 |        0.216
       0.080 |        0.115 |        0.195
       0.075 |        0.437 |        0.512
       0.074 |        0.081 |        0.155
       0.137 |        0.094 |        0.231
       0.076 |        0.081 |        0.157
       0.076 |        0.094 |        0.170
       0.127 |        0.092 |        0.219
       0.072 |        0.090 |        0.162
       0.076 |        0.120 |        0.196
       0.132 |        0.129 |        0.261
       0.072 |        0.081 |        0.152
       0.089 |        0.119 |        0.208
       0.071 |        0.078 |        0.149
       0.133 |        0.079 |        0.212
       0.067 |        0.124 |        0.190
       0.074 |        0.080 |        0.155
       0.108 |        0.078 |        0.186
       0.071 |        0.097 |        0.168
       0.072 |        0.083 |        0.155
       0.073 |        0.078 |        0.151
       0.072 |        0.088 |        0.160
       0.073 |        0.112 |        0.186
       0.070 |        0.098 |        0.168
       0.071 |        0.072 |        0.144
       0.072 |        0.105 |        0.177
       0.075 |        0.081 |        0.156
       0.077 |        0.081 |        0.158
       0.074 |        0.087 |        0.161
       0.074 |        0.077 |        0.151
       0.072 |        0.087 |        0.159
       0.071 |        0.098 |        0.169
       0.073 |        0.091 |        0.164
       0.082 |        0.115 |        0.197
       0.072 |        0.080 |        0.151
       0.074 |        0.082 |        0.156
       0.072 |        0.455 |        0.527
       0.073 |        0.085 |        0.158
       0.074 |        0.096 |        0.170
       0.138 |        0.088 |        0.226
       0.183 |        0.084 |        0.267
       0.121 |        0.075 |        0.196
       0.138 |        0.083 |        0.221
       0.101 |        0.095 |        0.196
       0.105 |        0.078 |        0.183
       0.070 |        0.082 |        0.152
       0.072 |        0.079 |        0.152
       0.071 |        0.090 |        0.162
       0.072 |        0.096 |        0.167
       0.070 |        0.078 |        0.148
       0.083 |        0.079 |        0.163
       0.174 |        0.083 |        0.257
       0.230 |        0.084 |        0.314
       0.075 |        0.082 |        0.158
       0.069 |        0.084 |        0.153
       0.071 |        0.092 |        0.163
       0.090 |        0.133 |        0.223
       0.185 |        0.116 |        0.301
       0.072 |        0.082 |        0.154
       0.074 |        0.080 |        0.154
       0.077 |        0.095 |        0.172
       0.077 |        0.081 |        0.158
       0.075 |        0.089 |        0.164
       0.240 |        0.143 |        0.384
       0.283 |        0.068 |        0.351
       0.170 |        0.128 |        0.298
       0.131 |        0.091 |        0.222
       0.073 |        0.122 |        0.194
       0.059 |        0.127 |        0.186
       0.073 |        0.089 |        0.162
       0.075 |        0.086 |        0.162
       0.153 |        0.121 |        0.274
       0.181 |        0.083 |        0.264
       0.070 |        0.089 |        0.159
       0.072 |        0.086 |        0.158
       0.074 |        0.582 |        0.656
       0.075 |        0.085 |        0.160
       0.074 |        0.572 |        0.646
       0.072 |        0.086 |        0.159
       0.073 |        0.100 |        0.173
       0.113 |        0.093 |        0.206
       0.096 |        0.131 |        0.227
       0.074 |        0.081 |        0.156
       0.073 |        0.091 |        0.164
       0.123 |        0.098 |        0.220
       0.076 |        0.080 |        0.156
       0.072 |        0.101 |        0.173
       0.089 |        0.122 |        0.210
       0.120 |        0.086 |        0.207
       0.074 |        0.114 |        0.188
       0.072 |        0.118 |        0.190
       0.076 |        0.112 |        0.188
       0.074 |        0.093 |        0.166
       0.089 |        0.123 |        0.213
       0.075 |        0.077 |        0.152
       0.092 |        0.082 |        0.174
       0.130 |        0.079 |        0.209
       0.070 |        0.085 |        0.155
       0.074 |        0.083 |        0.157
       0.076 |        0.119 |        0.195
       0.085 |        0.124 |        0.209
       0.078 |        0.091 |        0.169
       0.083 |        0.132 |        0.215
       0.163 |        0.087 |        0.250
       0.116 |        0.096 |        0.211
       0.131 |        0.075 |        0.206
       0.076 |        0.124 |        0.201
       0.075 |        0.115 |        0.190
       0.073 |        0.133 |        0.205
       0.072 |        0.078 |        0.150
       0.073 |        0.076 |        0.149
       0.073 |        0.078 |        0.150
       0.110 |        0.113 |        0.223
       0.105 |        0.080 |        0.185
       0.075 |        0.087 |        0.162
       0.119 |        0.093 |        0.212
       0.190 |        0.087 |        0.277
       0.071 |        0.086 |        0.157
       0.072 |        0.090 |        0.161
       0.073 |        0.088 |        0.161
       0.071 |        0.112 |        0.183
       0.071 |        0.112 |        0.183
       0.073 |        0.081 |        0.154
       0.072 |        0.088 |        0.160
       0.130 |        0.089 |        0.219
       0.178 |        0.107 |        0.286
       0.071 |        0.089 |        0.160
       0.129 |        0.115 |        0.244
       0.070 |        0.077 |        0.147
       0.109 |        0.080 |        0.189
       0.072 |        0.087 |        0.159
       0.075 |        0.087 |        0.163
       0.069 |        0.071 |        0.140
       0.079 |        0.130 |        0.209
       0.070 |        0.116 |        0.186
       0.074 |        0.083 |        0.156
       0.069 |        0.084 |        0.153
       0.075 |        0.125 |        0.201
       0.121 |        0.086 |        0.207
       0.076 |        0.077 |        0.153
       0.142 |        0.080 |        0.223
       0.084 |        0.101 |        0.185
       0.070 |        0.078 |        0.148
       0.070 |        0.107 |        0.177
       0.075 |        0.115 |        0.189
       0.072 |        0.091 |        0.163
       0.103 |        0.104 |        0.207
       0.072 |        0.073 |        0.146
       0.073 |        0.079 |        0.152
       0.083 |        0.127 |        0.210
       0.071 |        0.081 |        0.152
       0.073 |        0.078 |        0.151
       0.044 |        0.116 |        0.160
       0.071 |        0.116 |        0.187
       0.075 |        0.441 |        0.516
       0.090 |        0.121 |        0.211
       0.141 |        0.094 |        0.235
       0.073 |        0.085 |        0.157
       0.073 |        0.097 |        0.170
       0.073 |        0.082 |        0.155
       0.074 |        0.090 |        0.164
       0.071 |        0.079 |        0.150
       0.074 |        0.085 |        0.159
       0.073 |        0.108 |        0.182
       0.073 |        0.115 |        0.188
       0.071 |        0.084 |        0.155
       0.073 |        0.100 |        0.173
       0.115 |        0.078 |        0.193
       0.073 |        0.085 |        0.158
       0.071 |        0.087 |        0.158
       0.072 |        0.081 |        0.153
       0.070 |        0.098 |        0.168
       0.070 |        0.086 |        0.156
       0.070 |        0.082 |        0.152
       0.078 |        0.146 |        0.225
       0.071 |        0.088 |        0.159
       0.078 |        0.145 |        0.223
       0.071 |        0.112 |        0.182
       0.120 |        0.083 |        0.202
       0.191 |        0.110 |        0.301
       0.127 |        0.082 |        0.209
       0.134 |        0.090 |        0.225
       0.061 |        0.082 |        0.142
       0.074 |        0.124 |        0.198
       0.071 |        0.087 |        0.158
       0.094 |        0.084 |        0.179
       0.072 |        0.088 |        0.160
       0.130 |        0.083 |        0.213
       0.071 |        0.084 |        0.154
       0.070 |        0.084 |        0.153
       0.170 |        0.081 |        0.252
       0.073 |        0.080 |        0.152
       0.122 |        0.106 |        0.228
       0.071 |        0.090 |        0.161
       0.071 |        0.114 |        0.185
       0.071 |        0.079 |        0.150
       0.071 |        0.117 |        0.188
       0.042 |        0.124 |        0.166
       0.078 |        0.095 |        0.173
       0.073 |        0.569 |        0.642
       0.176 |        0.081 |        0.257
       0.119 |        0.554 |        0.673
       0.073 |        0.085 |        0.158
       0.070 |        0.087 |        0.157
       0.070 |        0.092 |        0.162
       0.088 |        0.125 |        0.213
       0.074 |        0.093 |        0.167
       0.071 |        0.086 |        0.157
       0.071 |        0.090 |        0.162
       0.072 |        0.078 |        0.150
       0.091 |        0.122 |        0.213
       0.154 |        0.088 |        0.242
       0.203 |        0.091 |        0.294
       0.242 |        0.088 |        0.330
       0.154 |        0.094 |        0.248
       0.088 |        0.121 |        0.209
       0.122 |        0.094 |        0.216
       0.140 |        0.085 |        0.225
       0.081 |        0.127 |        0.208
       0.141 |        0.086 |        0.227
       0.109 |        0.084 |        0.193
       0.007 |        0.078 |        0.085
       0.162 |        0.113 |        0.275
       0.315 |        0.085 |        0.399
       0.073 |        0.124 |        0.197
       0.071 |        0.088 |        0.159
       0.117 |        0.121 |        0.238
       0.122 |        0.130 |        0.252
       0.082 |        0.118 |        0.200
       0.075 |        0.085 |        0.160
       0.074 |        0.080 |        0.153
       0.075 |        0.085 |        0.160
       0.114 |        0.079 |        0.193
       0.073 |        0.081 |        0.154
       0.071 |        0.084 |        0.155
       0.128 |        0.076 |        0.204
       0.072 |        0.082 |        0.153
       0.071 |        0.094 |        0.165
       0.072 |        0.080 |        0.152
       0.073 |        0.331 |        0.404
       0.046 |        0.113 |        0.159
       0.072 |        0.078 |        0.149
       0.071 |        0.074 |        0.146
       0.071 |        0.089 |        0.159
       0.076 |        0.116 |        0.192
       0.136 |        0.084 |        0.220
       0.071 |        0.078 |        0.149
       0.070 |        0.118 |        0.188
       0.071 |        0.510 |        0.581
       0.072 |        0.082 |        0.153
       0.074 |        0.081 |        0.155
       0.074 |        0.089 |        0.163
       0.106 |        0.089 |        0.195
       0.074 |        0.081 |        0.154
       0.066 |        0.129 |        0.195
       0.071 |        0.086 |        0.157
       0.071 |        0.082 |        0.154
       0.072 |        0.118 |        0.190
       0.073 |        0.089 |        0.162
       0.070 |        0.076 |        0.146
       0.072 |        0.079 |        0.151
       0.072 |        0.099 |        0.171
       0.072 |        0.084 |        0.156
       0.071 |        0.080 |        0.151
       0.073 |        0.074 |        0.146
       0.074 |        0.090 |        0.164
       0.075 |        0.092 |        0.167
       0.074 |        0.086 |        0.160
       0.072 |        0.074 |        0.145
       0.073 |        0.081 |        0.154
       0.071 |        0.093 |        0.164
       0.121 |        0.113 |        0.233
       0.072 |        0.085 |        0.157
       0.072 |        0.151 |        0.223
       0.087 |        0.082 |        0.169
       0.088 |        0.090 |        0.178
       0.071 |        0.082 |        0.154
       0.168 |        0.091 |        0.259
       0.072 |        0.117 |        0.188
       0.071 |        0.089 |        0.160
       0.071 |        0.116 |        0.188
       0.070 |        0.071 |        0.141
       0.073 |        0.111 |        0.184
       0.074 |        0.087 |        0.161
       0.070 |        0.080 |        0.151
       0.070 |        0.090 |        0.160
       0.194 |        0.095 |        0.289
       0.096 |        0.080 |        0.176
       0.101 |        0.114 |        0.214
       0.072 |        0.093 |        0.165
       0.087 |        0.090 |        0.177
       0.072 |        0.082 |        0.154
       0.125 |        0.087 |        0.211
       0.072 |        0.097 |        0.169
       0.135 |        0.113 |        0.248
       0.072 |        0.085 |        0.157
       0.080 |        0.083 |        0.163
       0.071 |        0.082 |        0.153
       0.072 |        0.075 |        0.146
       0.072 |        0.086 |        0.158
       0.074 |        0.092 |        0.166
       0.128 |        0.088 |        0.216
       0.032 |        0.077 |        0.109
       0.225 |        0.072 |        0.297
       0.119 |        0.072 |        0.191
       0.156 |        0.113 |        0.270
       0.360 |        0.114 |        0.474
       0.147 |        0.100 |        0.247
       0.069 |        0.110 |        0.179
       0.088 |        0.085 |        0.172
       0.071 |        0.113 |        0.184
       0.078 |        0.112 |        0.191
       0.071 |        0.110 |        0.182
       0.075 |        0.073 |        0.148
       0.132 |        0.092 |        0.225
       0.212 |        0.090 |        0.302
       0.071 |        0.084 |        0.155
       0.071 |        0.079 |        0.150
       0.101 |        0.094 |        0.195
       0.177 |        0.115 |        0.292
       0.123 |        0.076 |        0.199
       0.141 |        0.109 |        0.251
       0.170 |        0.123 |        0.293
       0.072 |        0.080 |        0.153
       0.072 |        0.081 |        0.153
       0.074 |        0.079 |        0.153
       0.074 |        0.115 |        0.189
       0.072 |        0.085 |        0.157
       0.074 |        0.092 |        0.166
       0.071 |        0.108 |        0.179
       0.074 |        0.107 |        0.181
       0.107 |        0.086 |        0.193
       0.073 |        0.505 |        0.578
       0.073 |        0.089 |        0.162
       0.071 |        0.113 |        0.184
       0.073 |        0.397 |        0.469
       0.074 |        0.081 |        0.155
       0.072 |        0.078 |        0.149
       0.070 |        0.089 |        0.159
       0.071 |        0.086 |        0.157
       0.074 |        0.092 |        0.166
       0.072 |        0.080 |        0.153
       0.071 |        0.076 |        0.146
       0.073 |        0.076 |        0.149
       0.115 |        0.080 |        0.195
       0.072 |        0.093 |        0.166
       0.071 |        0.073 |        0.144
       0.072 |        0.075 |        0.147
       0.073 |        0.075 |        0.147
       0.137 |        0.116 |        0.254
       0.175 |        0.087 |        0.262
       0.073 |        0.108 |        0.181
       0.073 |        0.074 |        0.147
       0.073 |        0.075 |        0.148
       0.140 |        0.077 |        0.217
       0.071 |        0.081 |        0.152
       0.072 |        0.109 |        0.181
       0.070 |        0.077 |        0.147
       0.073 |        0.101 |        0.173
       0.073 |        0.102 |        0.175
       0.074 |        0.086 |        0.160
       0.109 |        0.113 |        0.222
       0.073 |        0.090 |        0.163
       0.072 |        0.083 |        0.155
       0.072 |        0.092 |        0.165
       0.071 |        0.087 |        0.159
       0.073 |        0.082 |        0.155
       0.044 |        0.102 |        0.146
       0.101 |        0.113 |        0.214
       0.072 |        0.080 |        0.152
       0.227 |        0.090 |        0.318
       0.080 |        0.147 |        0.228
       0.175 |        0.093 |        0.268
       0.082 |        0.109 |        0.191
       0.107 |        0.119 |        0.227
       0.263 |        0.128 |        0.391
       0.093 |        0.118 |        0.211
       0.074 |        0.576 |        0.651
       0.073 |        0.080 |        0.153
       0.073 |        0.089 |        0.163
       0.085 |        0.130 |        0.214
       0.113 |        0.102 |        0.215
       0.135 |        0.084 |        0.218
       0.012 |        0.086 |        0.098
       0.072 |        0.094 |        0.166
       0.114 |        0.081 |        0.195
       0.111 |        0.076 |        0.187
       0.294 |        0.084 |        0.378
       0.253 |        0.116 |        0.369
       0.233 |        0.112 |        0.345
       0.070 |        0.073 |        0.143
       0.070 |        0.080 |        0.150
       0.072 |        0.353 |        0.425
       0.073 |        0.090 |        0.163
       0.072 |        0.083 |        0.155
       0.113 |        0.084 |        0.197
       0.108 |        0.101 |        0.209
       0.076 |        0.125 |        0.201
       0.122 |        0.107 |        0.229
       0.154 |        0.087 |        0.240
       0.143 |        0.093 |        0.236
       0.072 |        0.114 |        0.186
       0.150 |        0.072 |        0.223
       0.209 |        0.082 |        0.291
       0.073 |        0.087 |        0.160
       0.074 |        0.084 |        0.159
       0.071 |        0.081 |        0.152
       0.140 |        0.111 |        0.251
       0.120 |        0.087 |        0.207
       0.072 |        0.079 |        0.151
       0.131 |        0.136 |        0.267
       0.075 |        0.076 |        0.151
       0.073 |        0.098 |        0.171
       0.070 |        0.080 |        0.150
       0.073 |        0.090 |        0.163
       0.071 |        0.092 |        0.163
       0.087 |        0.085 |        0.172
       0.073 |        0.082 |        0.155
       0.130 |        0.090 |        0.220
       0.071 |        0.089 |        0.160
       0.076 |        0.082 |        0.158
       0.070 |        0.080 |        0.150
       0.072 |        0.085 |        0.158
       0.070 |        0.083 |        0.154
       0.073 |        0.092 |        0.164
       0.095 |        0.085 |        0.180
       0.040 |        0.131 |        0.171
       0.083 |        0.108 |        0.190
       0.127 |        0.126 |        0.252
       0.075 |        0.084 |        0.159
       0.042 |        0.087 |        0.129
       0.086 |        0.065 |        0.151
       0.189 |        0.108 |        0.297
       0.293 |        0.133 |        0.426
       0.036 |        0.078 |        0.113
       0.070 |        0.077 |        0.146
       0.180 |        0.091 |        0.271
       0.201 |        0.084 |        0.285
       0.072 |        0.074 |        0.145
       0.119 |        0.083 |        0.203
       0.073 |        0.080 |        0.153
       0.070 |        0.088 |        0.158
       0.069 |        0.099 |        0.168
       0.072 |        0.087 |        0.158
       0.066 |        0.121 |        0.187
       0.094 |        0.120 |        0.215
       0.071 |        0.076 |        0.147
       0.072 |        0.083 |        0.155
       0.078 |        0.091 |        0.169
       0.080 |        0.126 |        0.206
