  QueueTimes | ServiceTimes | SojournTimes

       0.147 |        0.510 |        0.657
       0.148 |        0.511 |        0.658
       0.148 |        0.511 |        0.659
       0.146 |        0.509 |        0.655
       0.316 |        0.504 |        0.819
       0.123 |        0.509 |        0.632
       0.451 |        0.518 |        0.970
       0.491 |        0.499 |        0.990
       0.155 |        0.533 |        0.688
       0.157 |        0.509 |        0.666
       0.694 |        0.502 |        1.196
       0.943 |        0.500 |        1.443
       1.302 |        0.509 |        1.811
       0.158 |        0.549 |        0.707
       0.155 |        0.509 |        0.664
       0.153 |        0.523 |        0.676
       0.147 |        0.524 |        0.671
       0.151 |        0.515 |        0.666
       0.461 |        0.500 |        0.960
       0.244 |        0.500 |        0.744
       0.146 |        0.512 |        0.658
       0.150 |        0.514 |        0.664
       0.148 |        0.510 |        0.658
       0.571 |        0.500 |        1.072
       0.147 |        0.520 |        0.668
       0.147 |        0.510 |        0.656
       0.125 |        0.510 |        0.635
       0.147 |        0.513 |        0.660
       0.147 |        0.515 |        0.662
       0.147 |        0.510 |        0.657
       0.127 |        0.511 |        0.638
       0.411 |        0.498 |        0.908
       0.123 |        0.506 |        0.629
       0.147 |        0.516 |        0.663
       0.148 |        0.510 |        0.657
       0.146 |        0.513 |        0.659
       0.356 |        0.500 |        0.856
       0.147 |        0.509 |        0.656
       0.146 |        0.510 |        0.656
       0.146 |        0.511 |        0.657
       0.123 |        0.513 |        0.636
       0.345 |        0.501 |        0.846
       0.149 |        0.536 |        0.684
       0.218 |        0.531 |        0.750
       0.153 |        0.540 |        0.692
       0.321 |        0.501 |        0.821
       0.508 |        0.510 |        1.018
       0.937 |        0.501 |        1.437
       0.579 |        0.547 |        1.126
       0.342 |        0.516 |        0.858
       0.761 |        0.527 |        1.287
       0.148 |        0.509 |        0.657
       0.125 |        0.515 |        0.640
       0.155 |        0.510 |        0.665
       0.700 |        0.507 |        1.207
       0.149 |        0.525 |        0.675
       0.149 |        0.510 |        0.659
       0.152 |        0.512 |        0.664
       0.456 |        0.500 |        0.957
       0.123 |        0.526 |        0.649
       0.473 |        0.500 |        0.973
       0.317 |        0.500 |        0.817
       0.149 |        0.509 |        0.658
       0.152 |        0.511 |        0.663
       0.156 |        0.526 |        0.682
       0.151 |        0.515 |        0.666
       0.274 |        0.515 |        0.788
       0.775 |        0.500 |        1.276
       0.155 |        0.492 |        0.648
       0.566 |        0.559 |        1.125
       0.564 |        0.502 |        1.066
       0.117 |        0.514 |        0.631
       0.632 |        0.525 |        1.156
       0.480 |        0.511 |        0.992
       0.146 |        0.522 |        0.668
       0.123 |        0.510 |        0.633
       0.207 |        0.499 |        0.706
       0.023 |        0.499 |        0.522
       0.517 |        0.499 |        1.016
       0.146 |        0.524 |        0.670
       0.148 |        0.509 |        0.656
       0.150 |        0.509 |        0.659
       0.395 |        0.517 |        0.911
       0.147 |        0.510 |        0.657
       0.144 |        0.510 |        0.654
       0.363 |        0.499 |        0.862
       0.125 |        0.511 |        0.636
       0.152 |        0.524 |        0.676
       0.146 |        0.514 |        0.660
       0.155 |        0.500 |        0.656
       0.145 |        0.509 |        0.653
       0.146 |        0.510 |        0.656
       0.134 |        0.522 |        0.656
       0.126 |        0.515 |        0.641
       0.146 |        0.509 |        0.654
       0.150 |        0.510 |        0.661
       0.598 |        0.503 |        1.101
       0.154 |        0.509 |        0.664
       0.146 |        0.509 |        0.655
       0.010 |        0.506 |        0.516
       0.148 |        0.525 |        0.674
       0.722 |        0.500 |        1.221
       0.075 |        0.500 |        0.574
       0.124 |        0.558 |        0.681
       0.099 |        0.508 |        0.607
       0.293 |        0.521 |        0.814
       0.167 |        0.525 |        0.692
       0.145 |        0.483 |        0.628
       0.146 |        0.468 |        0.614
       0.677 |        0.456 |        1.133
       0.973 |        0.494 |        1.467
       0.172 |        0.531 |        0.703
       0.310 |        0.525 |        0.836
       0.146 |        0.522 |        0.668
       0.145 |        0.510 |        0.655
       0.146 |        0.515 |        0.660
       0.189 |        0.500 |        0.689
       0.146 |        0.525 |        0.671
       0.299 |        0.501 |        0.799
       0.146 |        0.510 |        0.656
       0.153 |        0.551 |        0.704
       0.135 |        0.729 |        0.864
       0.147 |        0.535 |        0.682
       0.147 |        0.510 |        0.657
       0.351 |        0.506 |        0.857
       0.147 |        0.514 |        0.660
       0.127 |        0.499 |        0.626
       0.153 |        0.509 |        0.662
       0.127 |        0.516 |        0.644
       0.147 |        0.516 |        0.663
       0.531 |        0.502 |        1.033
       0.922 |        0.519 |        1.441
       1.252 |        0.504 |        1.756
       1.164 |        0.499 |        1.663
       0.399 |        0.507 |        0.906
       0.600 |        0.500 |        1.100
       0.123 |        0.508 |        0.632
       0.539 |        0.501 |        1.040
       0.154 |        0.517 |        0.671
       0.151 |        0.512 |        0.663
       0.632 |        0.526 |        1.157
       0.267 |        0.484 |        0.751
       0.156 |        0.520 |        0.677
       0.122 |        0.511 |        0.633
       0.149 |        0.509 |        0.657
       0.148 |        0.509 |        0.656
       0.043 |        0.504 |        0.547
       0.373 |        0.500 |        0.873
       0.150 |        0.508 |        0.658
       0.311 |        0.511 |        0.822
       0.341 |        0.507 |        0.847
       0.153 |        0.508 |        0.661
       0.074 |        0.506 |        0.580
       0.612 |        0.499 |        1.111
       0.462 |        0.504 |        0.966
       0.148 |        0.509 |        0.657
       0.147 |        0.565 |        0.712
       0.145 |        0.518 |        0.663
       0.143 |        0.465 |        0.608
       0.146 |        0.526 |        0.672
       0.570 |        0.458 |        1.028
       0.345 |        0.475 |        0.820
       0.470 |        0.517 |        0.987
       0.146 |        0.508 |        0.653
       0.351 |        0.502 |        0.853
       0.145 |        0.525 |        0.671
       0.149 |        0.509 |        0.658
       0.147 |        0.509 |        0.656
       0.146 |        0.509 |        0.655
       0.158 |        0.509 |        0.667
       0.150 |        0.509 |        0.659
       0.147 |        0.509 |        0.656
       0.156 |        0.506 |        0.662
       0.151 |        0.492 |        0.642
       0.171 |        0.493 |        0.664
       0.170 |        0.522 |        0.692
       0.145 |        0.526 |        0.671
       0.164 |        0.508 |        0.672
       0.146 |        0.509 |        0.654
       0.347 |        0.502 |        0.849
       0.147 |        0.508 |        0.655
       0.248 |        0.505 |        0.753
       0.148 |        0.509 |        0.657
       0.150 |        0.595 |        0.745
       0.766 |        0.528 |        1.293
       0.398 |        0.501 |        0.899
       0.154 |        0.522 |        0.676
       0.149 |        0.515 |        0.664
       0.147 |        0.514 |        0.661
       0.152 |        0.509 |        0.661
       0.231 |        0.501 |        0.732
       0.468 |        0.504 |        0.972
       0.149 |        0.509 |        0.657
       0.150 |        0.523 |        0.673
       0.152 |        0.508 |        0.660
       0.525 |        0.500 |        1.025
       0.147 |        0.509 |        0.655
       0.456 |        0.506 |        0.962
       0.149 |        0.511 |        0.660
       0.149 |        0.521 |        0.670
       0.149 |        0.509 |        0.659
       0.149 |        0.509 |        0.658
       0.146 |        0.512 |        0.658
       0.322 |        0.500 |        0.822
       0.149 |        0.508 |        0.657
       0.306 |        0.502 |        0.808
       0.146 |        0.509 |        0.654
       0.154 |        0.510 |        0.664
       0.153 |        0.512 |        0.666
       0.570 |        0.501 |        1.072
       0.148 |        0.511 |        0.659
       0.150 |        0.509 |        0.659
