  QueueTimes | ServiceTimes | SojournTimes

       0.665 |        0.257 |        0.922
       0.928 |        0.249 |        1.177
       1.218 |        0.239 |        1.457
       0.099 |        0.253 |        0.352
       0.096 |        0.252 |        0.347
       0.103 |        0.249 |        0.352
       0.096 |        0.240 |        0.337
       0.098 |        0.256 |        0.353
       0.490 |        0.241 |        0.731
       0.873 |        0.259 |        1.132
       1.029 |        0.240 |        1.269
       1.126 |        0.248 |        1.373
       0.096 |        0.248 |        0.344
       0.074 |        0.247 |        0.320
       0.097 |        0.241 |        0.338
       0.107 |        0.258 |        0.364
       0.339 |        0.241 |        0.580
       0.105 |        0.249 |        0.354
       0.059 |        0.246 |        0.305
       0.102 |        0.252 |        0.355
       0.436 |        0.255 |        0.691
       0.267 |        0.251 |        0.518
       0.096 |        0.246 |        0.342
       0.382 |        0.250 |        0.632
       0.054 |        0.247 |        0.301
       0.184 |        0.262 |        0.446
       0.073 |        0.246 |        0.319
       0.273 |        0.253 |        0.525
       0.097 |        0.252 |        0.349
       0.105 |        0.259 |        0.363
       0.097 |        0.257 |        0.355
       0.187 |        0.252 |        0.438
       0.277 |        0.248 |        0.524
       0.097 |        0.252 |        0.349
       0.110 |        0.258 |        0.368
       0.095 |        0.256 |        0.350
       0.395 |        0.251 |        0.647
       0.096 |        0.248 |        0.344
       0.350 |        0.241 |        0.590
       0.340 |        0.248 |        0.588
       0.095 |        0.245 |        0.341
       0.099 |        0.272 |        0.371
       0.454 |        0.243 |        0.696
       0.464 |        0.250 |        0.714
       0.395 |        0.241 |        0.636
       0.075 |        0.252 |        0.327
       0.308 |        0.250 |        0.558
       0.237 |        0.254 |        0.491
       0.173 |        0.243 |        0.416
       0.097 |        0.253 |        0.350
       0.097 |        0.245 |        0.342
       0.097 |        0.261 |        0.358
       0.109 |        0.244 |        0.353
       0.162 |        0.256 |        0.418
       0.533 |        0.244 |        0.777
       0.075 |        0.254 |        0.328
       0.289 |        0.246 |        0.535
       0.444 |        0.264 |        0.708
       0.011 |        0.244 |        0.255
       0.072 |        0.254 |        0.327
       0.105 |        0.247 |        0.352
